gene_name,grupo,condition,mean_vst,sd_vst,n,z_score
Arg1,Homeostático / M2-like,M1_8h,11.7522275922549,0.30918255858518795,4,-0.9298961211466846
Arg1,Homeostático / M2-like,M1_Lac_8h,10.437739574239224,0.3203509935663823,4,-0.9298961211466846
Arg1,Homeostático / M2-like,M1_16h,14.617830403279676,0.14619652699962427,4,-0.9298961211466846
Arg1,Homeostático / M2-like,M1_Lac_16h,14.8528755491705,0.10924266950296274,4,-0.9298961211466846
Arg1,Homeostático / M2-like,M1_24h,15.268695125294725,0.34040743735855816,4,-0.9298961211466846
Arg1,Homeostático / M2-like,M1_Lac_24h,16.62319069687905,0.39360993920965354,4,-0.9298961211466846
Cxcl10,Inflamación M1,M1_8h,13.0907077600955,0.2804813665834287,4,0.7640859827064089
Cxcl10,Inflamación M1,M1_Lac_8h,13.607389523250324,0.22783420848589866,4,0.7640859827064089
Cxcl10,Inflamación M1,M1_16h,11.857832178745275,0.20909225056163225,4,0.7640859827064089
Cxcl10,Inflamación M1,M1_Lac_16h,12.844608938377375,0.14938858531953575,4,0.7640859827064089
Cxcl10,Inflamación M1,M1_24h,10.547397117645449,0.30020503817353256,4,0.7640859827064089
Cxcl10,Inflamación M1,M1_Lac_24h,10.947041436905,0.21023550723831183,4,0.7640859827064089
Dusp1,Metabolitos / regulación,M1_8h,12.454057143261926,0.09871226972434613,4,0.4709368376536058
Dusp1,Metabolitos / regulación,M1_Lac_8h,12.185419285749925,0.0894109835449559,4,0.4709368376536058
Dusp1,Metabolitos / regulación,M1_16h,11.098699906397675,0.06295656747460518,4,0.4709368376536058
Dusp1,Metabolitos / regulación,M1_Lac_16h,11.9985564685731,0.1566077744776649,4,0.4709368376536058
Dusp1,Metabolitos / regulación,M1_24h,11.534757842518076,0.1913607346414075,4,0.4709368376536058
Dusp1,Metabolitos / regulación,M1_Lac_24h,13.299526106752126,0.07188725777136858,4,0.4709368376536058
Hcar2,Metabolitos / regulación,M1_8h,11.24959637186515,0.14082648633449718,4,1.1590466789620617
Hcar2,Metabolitos / regulación,M1_Lac_8h,11.410380156990076,0.057487673253043985,4,1.1590466789620617
Hcar2,Metabolitos / regulación,M1_16h,6.6458949683695625,0.129969044456386,4,1.1590466789620617
Hcar2,Metabolitos / regulación,M1_Lac_16h,7.770603731493355,0.1377141506483406,4,1.1590466789620617
Hcar2,Metabolitos / regulación,M1_24h,6.392604378052275,0.24621885756954326,4,1.1590466789620617
Hcar2,Metabolitos / regulación,M1_Lac_24h,8.712057802435055,0.4800259780902328,4,1.1590466789620617
Hspa1b,Estrés celular,M1_8h,13.8732716326339,0.14189181890163008,4,0.9861927561732377
Hspa1b,Estrés celular,M1_Lac_8h,14.742931917617849,0.0900884807902285,4,0.9861927561732377
Hspa1b,Estrés celular,M1_16h,10.068804825219061,0.21249845908697684,4,0.9861927561732377
Hspa1b,Estrés celular,M1_Lac_16h,11.992022966036174,0.4262163908719017,4,0.9861927561732377
Hspa1b,Estrés celular,M1_24h,9.792050914057857,0.1812531327292328,4,0.9861927561732377
Hspa1b,Estrés celular,M1_Lac_24h,10.159777901127324,0.16582048296079355,4,0.9861927561732377
Hspa1l,Estrés celular,M1_8h,9.352008636495398,0.05862959410816541,4,0.7326977579547012
Hspa1l,Estrés celular,M1_Lac_8h,10.523874061377825,0.06973330704399243,4,0.7326977579547012
Hspa1l,Estrés celular,M1_16h,7.120962905124332,0.27016316071524915,4,0.7326977579547012
Hspa1l,Estrés celular,M1_Lac_16h,8.276579036973779,0.12236816390572064,4,0.7326977579547012
Hspa1l,Estrés celular,M1_24h,7.203284684623073,0.10586792222906471,4,0.7326977579547012
Hspa1l,Estrés celular,M1_Lac_24h,7.77375048532232,0.07301524090130668,4,0.7326977579547012
Il1b,Inflamación M1,M1_8h,16.187460005109376,0.1302103722593148,4,1.0742363421614154
Il1b,Inflamación M1,M1_Lac_8h,16.264882384503924,0.03856292370760184,4,1.0742363421614154
Il1b,Inflamación M1,M1_16h,12.996654301012374,0.31280673707429435,4,1.0742363421614154
Il1b,Inflamación M1,M1_Lac_16h,14.657430667481774,0.3360943955945933,4,1.0742363421614154
Il1b,Inflamación M1,M1_24h,11.64909478354185,0.47875392244141135,4,1.0742363421614154
