Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,spike-in_information,SRA Study,strain/background,time_after_lps/ifng_treatment,treatment,chip_antibody
SRR7264065,RNA-Seq,100,5410773378,PRJNA474681,SAMN09369010,2358061141,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168201,GSM3176455,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:51:00Z,1,GSM3176455,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,4h,LPS/IFNg,
SRR7264066,RNA-Seq,100,5258836267,PRJNA474681,SAMN09369008,2340028770,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168202,GSM3176456,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:32:00Z,1,GSM3176456,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,4h,LPS/IFNg,
SRR7264067,RNA-Seq,100,6225494664,PRJNA474681,SAMN09369006,2757415179,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168203,GSM3176457,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:45:00Z,1,GSM3176457,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,4h,LPS/IFNg,
SRR7264068,RNA-Seq,100,5858240095,PRJNA474681,SAMN09369005,2569483928,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168204,GSM3176458,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T14:00:00Z,1,GSM3176458,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,4h,LPS/IFNg,
SRR7264069,RNA-Seq,100,4446579067,PRJNA474681,SAMN09369003,1907969566,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168205,GSM3176459,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:29:00Z,1,GSM3176459,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,8h,LPS/IFNg,
SRR7264070,RNA-Seq,100,4786577488,PRJNA474681,SAMN09369001,2068830422,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168206,GSM3176460,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:42:00Z,1,GSM3176460,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,8h,LPS/IFNg,
SRR7264071,RNA-Seq,100,4562478725,PRJNA474681,SAMN09368999,1962928041,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168207,GSM3176461,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:39:00Z,1,GSM3176461,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,8h,LPS/IFNg,
SRR7264072,RNA-Seq,100,4758135148,PRJNA474681,SAMN09368997,2038366850,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168208,GSM3176462,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:31:00Z,1,GSM3176462,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,8h,LPS/IFNg,
SRR7264073,RNA-Seq,100,4561750529,PRJNA474681,SAMN09368996,1983295490,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168209,GSM3176463,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:26:00Z,1,GSM3176463,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,16h,LPS/IFNg,
SRR7264074,RNA-Seq,100,4875098540,PRJNA474681,SAMN09368994,2095120929,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168210,GSM3176464,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:38:00Z,1,GSM3176464,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,16h,LPS/IFNg,
SRR7264075,RNA-Seq,100,5578644653,PRJNA474681,SAMN09368992,2431922284,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168211,GSM3176465,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:37:00Z,1,GSM3176465,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,16h,LPS/IFNg,
SRR7264076,RNA-Seq,100,4797924380,PRJNA474681,SAMN09368990,2084674876,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168212,GSM3176466,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:47:00Z,1,GSM3176466,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,16h,LPS/IFNg,
SRR7264077,RNA-Seq,100,4504585153,PRJNA474681,SAMN09368988,1966378329,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168213,GSM3176467,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:34:00Z,1,GSM3176467,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,24h,LPS/IFNg,
SRR7264078,RNA-Seq,100,4676195177,PRJNA474681,SAMN09368987,2021891304,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168214,GSM3176468,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:29:00Z,1,GSM3176468,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,24h,LPS/IFNg,
SRR7264079,RNA-Seq,100,3776202555,PRJNA474681,SAMN09368985,1640405752,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168215,GSM3176469,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:23:00Z,1,GSM3176469,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,24h,LPS/IFNg,
SRR7264080,RNA-Seq,100,4133254022,PRJNA474681,SAMN09368984,1777304826,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168216,GSM3176470,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:30:00Z,1,GSM3176470,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,24h,LPS/IFNg,
SRR7264081,RNA-Seq,100,4229630251,PRJNA474681,SAMN09368982,1836267185,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168217,GSM3176471,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:39:00Z,1,GSM3176471,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,8h,"LPS/IFNg\, lactic acid (LA)",
