geo_accession	run_accession	experiment	biosample	bioproject	sra_study	organism	source_name	cell_type	strain_background	assay_type	library_layout	library_selection	library_source	instrument	time	treatment
GSM3176470	SRR7264080	SRX4168216	SAMN09368984	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	24h	LPS/IFNg
GSM3176471	SRR7264081	SRX4168217	SAMN09368982	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	8h	LPS/IFNg, lactic acid (LA)
GSM3176472	SRR7264082	SRX4168218	SAMN09368980	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	8h	LPS/IFNg, lactic acid (LA)
GSM3176473	SRR7264083	SRX4168219	SAMN09368979	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	8h	LPS/IFNg, lactic acid (LA)
GSM3176474	SRR7264084	SRX4168220	SAMN09368977	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	8h	LPS/IFNg, lactic acid (LA)
GSM3176475	SRR7264085	SRX4168221	SAMN09368975	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	16h	LPS/IFNg, lactic acid (LA)
GSM3176476	SRR7264086	SRX4168222	SAMN09368974	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	16h	LPS/IFNg, lactic acid (LA)
GSM3176477	SRR7264087	SRX4168223	SAMN09368972	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	16h	LPS/IFNg, lactic acid (LA)
GSM3176478	SRR7264088	SRX4168224	SAMN09368970	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	16h	LPS/IFNg, lactic acid (LA)
GSM3176479	SRR7264089	SRX4168225	SAMN09368969	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	24h	LPS/IFNg, lactic acid (LA)
GSM3176480	SRR7264090	SRX4168226	SAMN09368967	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	24h	LPS/IFNg, lactic acid (LA)
GSM3176481	SRR7264091	SRX4168227	SAMN09368965	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	24h	LPS/IFNg, lactic acid (LA)
GSM3176482	SRR7264092	SRX4168228	SAMN09368964	PRJNA474681	SRP149804	Mus musculus	Primary mouse bone marrow derived macrophages (BMDM)	Primary mouse bone marrow derived macrophages (BMDM)	C57BL/6	RNA-Seq	PAIRED	cDNA	TRANSCRIPTOMIC	Illumina HiSeq 4000	24h	LPS/IFNg, lactic acid (LA)
