"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0013326712953075,6,6,12.7813807531381,"GO:0006279 Premeiotic dna replication ","https://amigo.geneontology.org/amigo/term/GO:0006279"," Mcm2  Mcm5  Mcm4  Mcm6  Mcm7  Mcm3"
0.0121948818159127,6,9,8.52092050209205,"GO:0006271 Dna strand elongation involved in dna replication ","https://amigo.geneontology.org/amigo/term/GO:0006271"," Pola1  Pole  Pold2  Mcm4  Mcm7  Mcm3"
0.0121948818159127,6,17,8.52092050209205,"GO:0006544 Glycine metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0006544"," Tha1  Shmt1  Shmt2  Gcat  Phgdh  Gart"
0.0121948818159127,9,26,5.2287466717383,"GO:0006760 Folic acid-containing compound metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0006760"," Fpgs  Shmt1  Mthfd1  Mtr  Shmt2  Aasdhppt  Atic  Aldh1l1  Gart"
0.0121948818159127,9,22,5.2287466717383,"GO:1901659 Glycosyl compound biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:1901659"," Ada  Adal  Trmt12  Tyw3  Lcmt2  Tk1  Dctd  Dnph1  Mtap"
0.00624717487222461,22,103,2.89886986153647,"GO:0043414 Macromolecule methylation ","https://amigo.geneontology.org/amigo/term/GO:0043414"," Mettl16  Ftsj3  Alkbh8  Tfb2m  Trmt12  Tyw3  Nsun3  Trmt61a  Lcmt2  Tarbp1  Smyd2  Mrm1  Trdmt1  Prmt3  Hemk1  Mrm3  Prmt6  Prmt7  Mettl2  Eef1akmt1  Mettl21a  Fam98b"
0.0121948818159127,32,194,2.18718815026962,"GO:0006399 Trna metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0006399"," Polr3d  Qtrt2  Rpp14  Trub1  Exosc7  Alkbh8  Dtd1  Exosc8  Rars2  Elp1  Tars3  Ears2  Adat1  Trmt12  Iars1  Exosc2  Mars2  Tyw3  Pusl1  Trmt61a  Kti12  Lcmt2  Tarbp1  Trmt1  Tsen15  Dus4l  Mettl2  Trdmt1  Nat10  Nsun3  Cars2  Pus7"
0.00439557548480322,48,312,2.01149598737911,"GO:0042254 Ribosome biogenesis ","https://amigo.geneontology.org/amigo/term/GO:0042254"," Rrp15  Mettl16  Mrm1  Ftsj3  Exosc7  Wdr75  Tfb2m  Nat10  Exosc8  Gar1  Nol6  Nol9  Dkc1  Heatr3  Pwp2  Wdr3  Tsr1  Exosc2  Nsun3  Grwd1  Mdn1  Rrs1  Znhit6  Npm3  Utp20  Ddx56  Naf1  Utp25  C1qbp  Aatf  Nol8  Prkdc  Riox2  Pdcd11  Tsr2  Nop58  Nop56  Ddx51  2810004N23Rik  Dis3  Mrps2  Mrm3  Mybbp1a  Dicer1  Rrp9  Utp14b  Noa1  Rcc1l"
0.00439557548480322,61,435,1.8475455591029,"GO:0022613 Ribonucleoprotein complex biogenesis ","https://amigo.geneontology.org/amigo/term/GO:0022613"," Rrp15  Celf2  Mettl16  Mrm1  Ftsj3  Exosc7  Wdr75  Tfb2m  Nat10  Exosc8  Gar1  Nol6  Nol9  Ruvbl1  Dkc1  Heatr3  Pwp2  Wdr3  Tsr1  Exosc2  Nsun3  Grwd1  Mdn1  Rrs1  Znhit6  Npm3  Utp20  Ddx56  Naf1  Utp25  Srsf6  Srsf1  C1qbp  Aatf  Ddx39b  Nol8  Prkdc  Riox2  Pdcd11  Tsr2  Nop58  Eif3j1  Nop56  Ddx51  2810004N23Rik  Atr  Dis3  Atm  Mrps2  Mrm3  Mybbp1a  Dicer1  Rrp9  Dhx9  Eif3j2  Prmt7  Utp14b  Mbnl1  Noa1  Rcc1l  Wdr77"
0.00757971881214258,323,4531,1.22540397247361,"GO:0034654 Nucleobase-containing compound biosynthetic proc. ","https://amigo.geneontology.org/amigo/term/GO:0034654"," Scml2  Polr3d  Rrp15  Nfix  Celf2  Zfp40  Zfp324  Mef2c  Tfap4  Pou2f2  Ascl2  Mettl16  Cad  Hmgb3  Ada  Mybl2  Srsf1  Mrm1  Aatf  Pank3  Ddx39b  Plagl1  Meis1  Prpsap2  Rrm2  Ftsj3  Kat2a  Ajuba  Zhx1  Zc3h7b  L3mbtl2  Adsl  Polr3h  Qtrt2  Dgcr8  Gart  Paxbp1  Rpp14  Zeb1  Hhex  Trub1  Cbx8  Exosc7  Alkbh8  Wdr75  Carf  Atic  Tfb2m  Nat10  Adal  Exosc8  Mbnl1  Gar1  Trp53inp1  Nol6  Elp1  Ctps1  Ppcs  Khdrbs1  Zbtb8a  Nol9  Rbm19  Ruvbl1  Uri1  Zfp273  Dkc1  Prps1  Dhodh  Adat1  Kank2  Smarcc1  Pwp2  Wdr3  Pank1  Ccar2  Sf3b3  Zbtb41  Zfp661  Lbx2  Kctd1  Wtip  Zfp157  Zfp39  Zfp113  Trmt12  Rfx7  Bend3  Tsr1  Polr3k  Exosc2  Pclaf  Zfp704  Zfp770  Dhx33  Klf8  Zbed3  Nkrf  Bclaf3  Zfp758  Zfp629  Zfp322a  Mbtps2  Tyw3  Zfp518a  Sall2  Nsun3  Zfp11  Pusl1  Zfp943  Cpsf3  Zfp647  Klf2  Maf  Zfp709  Zfp759  Zfp329  Zfp105  Zfp422  Zfp937  Trmt61a  Rrs1  Zfp229  Zfp398  Impdh2  Zfp696  Bcl9l  Zfp947  Zkscan7  Zkscan8  mt-Atp6  Zfp763  Zfp760  Zfp825  Zfp975  Zfp974  Srsf3  Zfp213  Zfp942  Zfp1006  Cebpd  Spin4  Nfxl1  Kti12  Zfp788  Znhit6  Tox2  Mafb  2010315B03Rik  Platr25  Zfp934  Zfp808  Lcmt2  AU041133  Zfp995  Zfp931  Gm14418  Gm14410  Gm14419  Gm14295  Gm14305  Gm14308  Gm14434  Gm2026  Gm6710  Gm4724  Zfp968  Gm14391  Cbx6  Rbm12  Zfp882  Gm15446  Tarbp1  Zfp493  Gm5141  Zfp964  Zfp963  Gm11007  Gm2007  Gm3604  Zfp969  Gm2004  Pola1  Pold2  Cenpk  Bmp2  Tlr3  Trib1  Mybbp1a  Wwp1  Epop  Npm3  Zfp111  Wdr77  Trmt1  Utp20  Ddx56  Pole  Tafazzin  Rnf168  Naf1  Tsen15  Utp25  Srsf6  Top2b  C1qbp  Psmc3ip  Dus4l  Taf15  Mettl2  Lig3  Ubtf  Mthfd1  Cdca7l  Dek  Nol8  Zfp369  Ahrr  Slc4a7  Prkdc  Riox2  Nme4  Pdcd4  Pdcd11  Tsr2  Tk1  Cpeb1  Mybl1  Smyd2  Suv39h2  Trdmt1  Ak8  Trim44  Dut  Polr1b  Ccna2  Rwdd3  Gne  Itgb3bp  Meaf6  Cd38  Ddx51  Kdm8  Fus  Fadd  Dctd  Acat1  Chek1  Gclc  Tfdp2  Fbxl2  Pkd1  Dis3  Polq  Atm  Polr3b  Pkd2  Nagk  Apex1  Bbs7  Dtl  Mrm3  Polg  Kmo  Dnph1  Elovl6  Dicer1  Rrp9  Amot  Dhx9  Taf9b  Ctdspl  Zfp235  Msl3l2  Bmyc  Prmt6  Nanp  Fra10ac1  Lrif1  Pus7  Nfe2  Hnrnpm  Akap17b  Ptp4a3  Prmt7  Hdac10  Mtap  Gpatch1  mt-Atp8  Ccnd1  Map3k5  Zfp1008  Nme3  Gm14288  Zfp1009  Utp14b  Zfp968-ps  Rnf8  Gm3055  AB010352  Txnip  Smo  Hmgn2  Trpv4  Ap3d1  Shmt1  Obi1  Angel2  Efna1  Iqce  Upf3b  Rd3  Hmgn2-ps  Slc25a42  Nolc1  Rapgef3  Ift172  Lrrc14  E130311K13Rik  Nlrc3  Prdm11  mt-Nd2  mt-Nd3  mt-Nd6"
