"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.22062515237458e-13,75,759,2.72716316108988,"GO:0001568 Blood vessel development ","https://amigo.geneontology.org/amigo/term/GO:0001568"," Acvrl1  Col18a1  Pgf  Vegfa  Vegfc  Rasip1  Tnfrsf12a  Pdgfa  Klf4  Il12b  Hspb1  Hyal1  Pecam1  Rgcc  Hdac7  Emp2  Adamts1  Bsg  Tnf  Sat1  Tnn  Egfl7  Il1b  Ecm1  Adm  Ets1  Anxa2  Rora  Pik3cb  Ptgs2  Igfbp7  Btg1  Nodal  Serpine1  Tgm2  Ninj1  Thbs1  S100a1  Ackr3  Shb  Cxcr4  E2f8  Hipk2  Sphk1  Pgk1  Arhgap22  Sema3c  Apoe  Cav1  Plcd3  Chd7  Folr1  Notch4  Mdm2  Gna13  Plk2  Fosl1  Ddit3  Il1a  Plpp3  Fkbpl  Tiparp  Ccl2  Gadd45a  Egr2  Id1  Adamts6  Jun  Junb  Jmjd6  Rapgef2  Ccl5  Ppp1r15a  Hbegf  Prokr1"
4.93749804476751e-18,138,1717,2.3094913624616,"GO:0042127 Reg. of cell population proliferation ","https://amigo.geneontology.org/amigo/term/GO:0042127"," Pgf  Cav1  Cd274  Il13ra1  Egfr  Bcl6  Cd86  Vegfa  Hbegf  Il6  Pdgfa  Cd28  Il1b  Il1a  Pdgfc  Tnfrsf9  Vegfc  Il15  Tnfsf9  Btg1  Clcf1  S100a13  Il27  Jun  Junb  Tmem119  Acvrl1  Col18a1  Klf4  Il12b  Ndrg2  Bcl2l1  Slamf1  Tnfaip3  Pim1  Tnf  Tnn  Fosl2  Plac8  Cxcl1  Cd9  Cd276  Cd24a  Timp1  Apoe  Gab2  Hyal1  Cdc6  Wwc1  Ahr  Arg1  Mdm2  Gna13  Rgcc  Tgm1  Emp2  Adamts1  Fosl1  Maged1  Atf3  Niban2  Egfl7  Src  S100a11  Ecm1  Bcar3  Slc25a33  Adm  Ptgs2  Folr2  Klf9  Ccl5  Egln3  Ccl2  Rnf126  Nodal  Rara  Prc1  Zfp503  Thbs1  Inhba  Stx3  Itga1  Hilpda  Zfp36  Mmp12  Cadm4  Cdca7  Ptafr  Ier5  Zfp143  Sphk1  Cdkn2d  Ppard  Nos2  Plcd3  Lims2  Sat1  Ackr3  Fnip2  Hipk2  Cnn2  Ndrg1  Havcr2  Id2  Nr1d1  Arg2  Gcnt2  Ptch1  Cblb  Dusp1  Pmaip1  Traf6  Slc7a11  Zbtb7b  Iqgap3  Pdpn  Blm  Chst11  Dusp10  Ticam1  Tgif1  Rapgef2  Runx3  Htra1  Rida  Fas  Npy  Ets1  Anxa2  Rasgrf1  Tgm2  Ppp1r15a  Id1  S1pr2  Rasip1  Fxyd2  Fabp4"
4.37386170876077e-13,105,1260,2.26321684982977,"GO:0040011 Locomotion ","https://amigo.geneontology.org/amigo/term/GO:0040011"," Ccl3  Pgf  Ccl4  Vegfa  Pdgfa  Pdgfc  Sema3c  Cxcl5  Ppbp  Cxcl3  Cxcl1  Vegfc  Ccl5  Ccl2  Fam110c  Trem1  Ccrl2  Ackr3  Cxcl2  Tmsb10  Tmsb10b  Col18a1  Tnn  Egfl7  Il1b  Spp1  Cd9  Ninj1  Saa3  Acvrl1  Timp1  Rhoc  Apoe  Klf4  Hspb1  Cav1  Hyal2  Hyal1  Cd274  Egfr  Mdm2  Gna13  Pecam1  Carmil1  Gcnt2  Rgcc  Hdac7  Emp2  Adamts1  Bsg  Dusp1  Tnf  Hbegf  Il1a  Src  S100a11  Pip5k1a  Glipr2  Plpp3  Ets1  Pik3cb  Ptgs2  Gadd45a  Gpi1  Tcaf1  Nodal  Serpine1  Thbs1  Stx3  Rhod  Itga1  Cxcr4  Flrt3  Jam2  Tnfaip6  Cadm4  Ptafr  Sphk1  Ccl27a  Itga9  Cnn2  Slamf1  Lsp1  Med23  Rffl  Plk2  Bcl6  Rabgef1  Il1r1  Ecm1  Pdpn  Stap1  Aldoa  Gdf15  Dusp10  Mmp10  Jun  Rapgef2  Rpl13a  Ppard  Fas  Sell  Furin  S1pr2  Mmp12"
3.37923088857601e-16,152,2076,2.07739414147131,"GO:0008283 Cell population proliferation ","https://amigo.geneontology.org/amigo/term/GO:0008283"," Pgf  Cav1  Cd274  Il13ra1  Egfr  Bcl6  Cd86  Vegfa  Hbegf  Il6  Pdgfa  Cd28  Il1b  Il1a  Pdgfc  Tnfrsf9  Vegfc  Il15  Tnfsf9  Btg1  Clcf1  S100a13  Il27  Jun  Junb  Tmem119  Acvrl1  Col18a1  Klf4  Il12b  Ndrg2  Bcl2l1  Slamf1  Tnfaip3  Pim1  Tnf  Tnn  Fosl2  Plac8  Cxcl1  Cd9  Cd276  Serpinb1a  Shb  E2f8  Cd24a  Timp1  Apoe  Gab2  Hyal1  Cdc6  Wwc1  Ahr  Arg1  Mdm2  Gna13  Rgcc  Tgm1  Emp2  Adamts1  Fosl1  Maged1  Atf3  Niban2  Egfl7  Slc20a1  Src  S100a11  Ecm1  Bcar3  Slc25a33  Adm  Ptgs2  Folr2  Klf9  Ccl5  Egln3  Ccl2  Rnf126  Nodal  Rara  Prc1  Zfp503  Thbs1  Inhba  Stx3  Sox5  Itga1  Hilpda  Zfp36  Mmp12  Cadm4  Cdca7  Ptafr  Ier5  Zfp143  Sphk1  Cdkn2d  Ppard  Nos2  Plcd3  Lims2  Sat1  Ackr3  Fnip2  Hipk2  Cks2  Cnn2  Ndrg1  Ndel1  Havcr2  Id2  Nr1d1  Arg2  Gcnt2  Ptch1  Cblb  Dusp1  Pmaip1  Ddit3  Traf6  Slc7a11  Zbtb7b  Iqgap3  Pdpn  Prdx1  Uchl1  Blm  Rora  Rasgrf1  Pik3cb  Chst11  Dusp10  Ticam1  Tgif1  Rapgef2  Gm49339  Runx3  Lilrb4a  Htra1  Rida  Fas  Npy  Ets1  Anxa2  Tgm2  Ppp1r15a  Id1  S1pr2  Rasip1  Fxyd2  Fabp4"
4.1710989727739e-13,128,1583,2.05745225795503,"GO:0042981 Reg. of apoptotic proc. ","https://amigo.geneontology.org/amigo/term/GO:0042981"," Hspb1  Htra1  Egfr  Mdm2  Phlda1  Rffl  Tnfrsf12a  Ltb  Tnf  Fas  Src  Ctsk  Pim3  Arhgap10  Htra4  Tnfrsf23  Sphk1  Rnf183  Plekhn1  Col18a1  Ier3  Fam162a  Wwox  Bcl2l1  Hyal2  Il19  Bcl6  Plac8  Mt1  Cd24a  Osm  Lck  Timp1  Bbc3  Klf4  Nqo1  Il12b  Cav1  Id3  Gadd45b  Adamtsl4  Cd274  Tnfaip3  Gadd45g  Rgcc  Vegfa  Pim1  Fosl1  Prdx5  Ddit3  Atf3  Niban2  Traf1  Traf6  Il1b  Plk3  Adm  Birc3  Pik3cb  Ptgs2  Ccl5  Gadd45a  Gpi1  Btg1  Serpine1  Gch1  Tgm2  Rara  Rnf144b  Ormdl3  Thbs1  Clcf1  Inhba  Itga1  Atf4  Ackr3  Zfp36  Tnfrsf26  Plaur  Prokr1  Tmc8  Dedd2  Serpinb2  Prkcg  Gm20521  Cdkn2d  Ccl3  Pcgf2  Lims2  Maged1  Blm  Mnt  Apoe  St3gal1  Dyrk3  Arg2  Plk2  Pmaip1  Il6  Cln8  Slc7a11  Pdpn  Draxin  Chst11  Id1  Insl6  Jun  Hipk2  Rapgef2  Syngap1  Runx3  Ppard  Bik  Sgk1  Nos2  Fbxo32  Cblb  Dusp1  Sell  Hk1  Ppp1r15a  Trem1  Ldha  Gapdhrt  Hcar2  Spp1  Irak2  Apbb3"
4.1710989727739e-13,131,1629,2.03792602966452,"GO:0043067 Reg. of programmed cell death ","https://amigo.geneontology.org/amigo/term/GO:0043067"," Hspb1  Htra1  Egfr  Mdm2  Phlda1  Rffl  Tnfrsf12a  Ltb  Tnf  Fas  Src  Ctsk  Pim3  Arhgap10  Htra4  Tnfrsf23  Sphk1  Rnf183  Plekhn1  Col18a1  Ier3  Fam162a  Wwox  Bcl2l1  Hyal2  Il19  Bcl6  Plac8  Cxcl1  Mt1  Cd24a  Osm  Lck  Ccl3  Timp1  Bbc3  Klf4  Nqo1  Il12b  Cav1  Id3  Gadd45b  Adamtsl4  Cd274  Tnfaip3  Arg1  Nos2  Gadd45g  Rgcc  Vegfa  Pim1  Fosl1  Prdx5  Ddit3  Atf3  Niban2  Traf1  Traf6  Il1b  Slc7a11  Plk3  Adm  Birc3  Pik3cb  Ptgs2  Ccl5  Gadd45a  Gpi1  Btg1  Serpine1  Gch1  Tgm2  Rara  Rnf144b  Ormdl3  Thbs1  Clcf1  Inhba  Itga1  Atf4  Ackr3  Zfp36  Tnfrsf26  Cxcr4  Plaur  Prokr1  Tmc8  Dedd2  Serpinb2  Prkcg  Gm20521  Cdkn2d  Pcgf2  Lims2  Maged1  Blm  Mnt  Apoe  St3gal1  Dyrk3  Arg2  Plk2  Pmaip1  Il6  Cln8  Pdpn  Draxin  Chst11  Id1  Insl6  Jun  Hipk2  Rapgef2  Syngap1  Runx3  Ppard  Bik  Sgk1  Fbxo32  Cblb  Dusp1  Sell  Hk1  Ppp1r15a  Trem1  Ldha  Gapdhrt  Hcar2  Spp1  Irak2  Apbb3"
9.68203374350138e-14,154,1985,1.93068627320213,"GO:0006915 Apoptotic proc. ","https://amigo.geneontology.org/amigo/term/GO:0006915"," Bbc3  Fam162a  Hspb1  Htra1  Bcl2l1  Bik  Anxa6  Ddit4  Egfr  Mdm2  Phlda1  Rffl  Tnfrsf12a  Ltb  Tnf  Fas  Ddit3  Src  Ctsk  Pim3  Arhgap10  Htra4  Tnfrsf23  Dedd2  Hipk2  Sphk1  Rnf183  Ifi27  Plekhn1  Col18a1  Ier3  Wwox  Hyal2  Il19  Bcl6  Pmaip1  Cd5  Il6  Cd28  Plac8  Mt1  Atf4  Cd24a  Osm  Lck  Timp1  Ppard  Ggct  Klf4  Nqo1  Il12b  Aplp1  Cav1  Id3  Gadd45b  Adamtsl4  Cd274  Tnfaip3  Sgk1  Srgn  Gadd45g  Ero1a  Rgcc  Emp2  Vegfa  Pim1  Fosl1  Prdx5  Atf3  Niban2  Traf1  Traf6  Il1b  Plk3  Tnfrsf9  Emp1  Adm  Birc3  Pik3cb  Ptgs2  Csrnp1  Trib3  Trim69  Ccl5  Egln3  Gadd45a  Gpi1  Btg1  Serpine1  Gch1  Tgm2  Rara  Rnf144b  Ormdl3  Thbs1  Ppp1r15a  Sgms1  Clcf1  Inhba  Itga1  Ackr3  Zfp36  Shb  Tnfrsf26  Hcar2  Plaur  Bex3  Ticam1  Prokr1  Tmc8  Cdca7  Serpinb2  Prkcg  Gm20521  Cdkn2d  Gapdhrt  Ccl3  Pcgf2  Lims2  Maged1  Blm  Mnt  Apoe  St3gal1  Dyrk3  Arg2  Plk2  Cln8  Il1a  Slc7a11  Pdpn  Draxin  Fosl2  Anxa2  Chst11  Id1  Insl6  Jun  Fnip2  Rapgef2  Syngap1  Runx3  Nos2  Fbxo32  Cblb  Dusp1  Sell  Hk1  Trem1  Ldha  Spp1  Irak2  Lsp1  Apbb3"
9.23651026957235e-14,158,2051,1.91377797779719,"GO:0008219 Cell death ","https://amigo.geneontology.org/amigo/term/GO:0008219"," Bbc3  Fam162a  Hspb1  Htra1  Bcl2l1  Bik  Anxa6  Ddit4  Egfr  Mdm2  Phlda1  Rffl  Tnfrsf12a  Ltb  Tnf  Fas  Ddit3  Src  Ctsk  Pim3  Arhgap10  Htra4  Tnfrsf23  Dedd2  Hipk2  Sphk1  Rnf183  Ifi27  Plekhn1  Col18a1  Ier3  Wwox  Hyal2  Il19  Bcl6  Pmaip1  Cd5  Il6  Cd28  Plac8  Cxcl1  Mt1  Ninj1  Atf4  Cd24a  Osm  Lck  Ccl3  Timp1  Ppard  Ggct  Klf4  Nqo1  Il12b  Aplp1  Cav1  Id3  Gadd45b  Adamtsl4  Cd274  Tnfaip3  Sgk1  Arg1  Srgn  Nos2  Gadd45g  Ero1a  Rgcc  Emp2  Vegfa  Pim1  Fosl1  Prdx5  Atf3  Niban2  Traf1  Traf6  Il1b  Slc7a11  Plk3  Tnfrsf9  Emp1  Adm  Birc3  Pik3cb  Ptgs2  Csrnp1  Trib3  Trim69  Ccl5  Egln3  Gadd45a  Gpi1  Btg1  Serpine1  Gch1  Tgm2  Rara  Rnf144b  Ormdl3  Thbs1  Ppp1r15a  Sgms1  Clcf1  Inhba  Itga1  Ackr3  Zfp36  Shb  Tnfrsf26  Cxcr4  Hcar2  Plaur  Bex3  Ticam1  Prokr1  Tmc8  Cdca7  Serpinb2  Prkcg  Gm20521  Cdkn2d  Gapdhrt  Pcgf2  Lims2  Maged1  Il1a  Blm  Mnt  Apoe  St3gal1  Dyrk3  Arg2  Plk2  Cln8  Pdpn  Draxin  Fosl2  Anxa2  Chst11  Id1  Insl6  Jun  Fnip2  Rapgef2  Syngap1  Runx3  Fbxo32  Cblb  Dusp1  Sell  Hk1  Trem1  Ldha  Spp1  Irak2  Lsp1  Apbb3"
9.23651026957235e-14,158,2051,1.91377797779719,"GO:0012501 Programmed cell death ","https://amigo.geneontology.org/amigo/term/GO:0012501"," Bbc3  Fam162a  Hspb1  Htra1  Bcl2l1  Bik  Anxa6  Ddit4  Egfr  Mdm2  Phlda1  Rffl  Tnfrsf12a  Ltb  Tnf  Fas  Ddit3  Src  Ctsk  Pim3  Arhgap10  Htra4  Tnfrsf23  Dedd2  Hipk2  Sphk1  Rnf183  Ifi27  Plekhn1  Col18a1  Ier3  Wwox  Hyal2  Il19  Bcl6  Pmaip1  Cd5  Il6  Cd28  Plac8  Cxcl1  Mt1  Ninj1  Atf4  Cd24a  Osm  Lck  Ccl3  Timp1  Ppard  Ggct  Klf4  Nqo1  Il12b  Aplp1  Cav1  Id3  Gadd45b  Adamtsl4  Cd274  Tnfaip3  Sgk1  Arg1  Srgn  Nos2  Gadd45g  Ero1a  Rgcc  Emp2  Vegfa  Pim1  Fosl1  Prdx5  Atf3  Niban2  Traf1  Traf6  Il1b  Slc7a11  Plk3  Tnfrsf9  Emp1  Adm  Birc3  Pik3cb  Ptgs2  Csrnp1  Trib3  Trim69  Ccl5  Egln3  Gadd45a  Gpi1  Btg1  Serpine1  Gch1  Tgm2  Rara  Rnf144b  Ormdl3  Thbs1  Ppp1r15a  Sgms1  Clcf1  Inhba  Itga1  Ackr3  Zfp36  Shb  Tnfrsf26  Cxcr4  Hcar2  Plaur  Bex3  Ticam1  Prokr1  Tmc8  Cdca7  Serpinb2  Prkcg  Gm20521  Cdkn2d  Gapdhrt  Pcgf2  Lims2  Maged1  Il1a  Blm  Mnt  Apoe  St3gal1  Dyrk3  Arg2  Plk2  Cln8  Pdpn  Draxin  Fosl2  Anxa2  Chst11  Id1  Insl6  Jun  Fnip2  Rapgef2  Syngap1  Runx3  Fbxo32  Cblb  Dusp1  Sell  Hk1  Trem1  Ldha  Spp1  Irak2  Lsp1  Apbb3"
7.01557053841428e-17,201,3034,1.8574009595489,"GO:0051239 Reg. of multicellular organismal proc. ","https://amigo.geneontology.org/amigo/term/GO:0051239"," Pgf  Slamf1  Cd274  Wwc1  Srgn  Bcl6  Cd86  Vegfa  H2-Oa  Cd5  Cd28  Il1b  Il1a  Procr  Ecm1  Pdpn  Lrpap1  Spp1  Bhlhe40  Bhlhe41  Adm  Vegfc  Il15  Tnfsf9  Cd276  Mturn  Clcf1  H2-Ob  Sox5  Maff  Il27  Serpinb1a  Ticam1  Serpinb1b  Cd14  Tmem119  Nectin2  H2-Ab1  Acvrl1  Il12b  Hspb1  Tnfaip3  Fbxo32  Clec4n  Tnfrsf12a  Tnf  Ddit3  Il6  Tnn  Traf6  Tnfrsf9  Draxin  Fosl2  Anxa2  Ptgs2  Cd300ld  Hk1  Mylip  Gdf15  S100a10  Cd24a  Zfpm1  Flrt3  Jun  Gm49339  Syngap1  Ulbp1  Tnnc1  Lilrb4a  Lck  Ccl3  Timp1  Apoe  Klf4  Mmp8  Cav1  Hyal2  Hyal1  Ahr  Arg1  Egfr  Havcr2  Nos2  Per1  Arg2  Gcnt2  Rgcc  Bmp1  Hdac7  Emp2  Adamts1  Pim1  Fas  Parp6  Pdgfa  Il1r1  Snta1  Src  Glipr2  Tec  Cd9  Furin  Ets1  Rora  Adamts7  Pik3cb  P2ry2  Ccl5  Ccl2  Btg1  Nodal  Serpine1  Tgm2  Ninj1  Rara  F11r  Itga9  Dusp10  Thbs1  Inhba  S100a13  Atf4  Hilpda  S1pr2  S100a1  Zfp36  Cxcr4  Hcar2  Phospho1  Sgms2  Ezr  Tnfaip6  Ptafr  Hipk2  Sphk1  Pgk1  Runx3  Ifrd1  Cry1  Mdm2  Id2  Ptch1  Tmem38b  Tmem38a  Tgif1  Fabp4  Ppard  Ndrg2  Gprc5b  Cd83  Notch4  Il19  Anxa6  Kdm6b  Smtn  Rsad2  Nr1d1  Plk2  Cblb  Noct  Il15ra  Ltb  Hbegf  Afg3l2  Maged1  Rabgef1  Pdgfc  Zbtb7b  Iqgap3  Ctsk  Stap1  Plac8  Cxcl5  Blm  Fkbpl  Gadd45a  Gch1  Egr2  Ormdl3  Chd7  Ptpre  Id1  Ctla2a  Shb  Zfp36l2  Gpr68  Cd300lf  Mmp12  Jam2  Scimp  Pwwp2b  Rapgef2  Cacnb3  Ndel1  Ccl4  Sgk1  Npy  Dusp5  Ppp1r15a  Bsg  Plaur"
