contrast,regulation,gene_name,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj
Lac_24h_vs_M1_24h,UP,Hcar2,ENSMUSG00000045502.7,ENSMUSG00000045502,protein_coding,2496.2703813365124,2.567501691723983,5.428341466717623e-49
Lac_24h_vs_M1_24h,UP,Tatdn2,ENSMUSG00000056952.14,ENSMUSG00000056952,protein_coding,2806.9645123368864,0.9935788605068976,5.428341466717623e-49
Lac_24h_vs_M1_24h,UP,Cd9,ENSMUSG00000030342.9,ENSMUSG00000030342,protein_coding,12792.433176975326,1.1816327871706267,1.179706352370371e-48
Lac_24h_vs_M1_24h,UP,Csrnp1,ENSMUSG00000032515.9,ENSMUSG00000032515,protein_coding,1248.9504326732392,1.3561570597151111,1.5837102740216262e-48
Lac_8h_vs_M1_8h,DOWN,Arl11,ENSMUSG00000043157.9,ENSMUSG00000043157,protein_coding,2399.06143913261,-0.921197092392256,3.629148379494973e-51
Lac_8h_vs_M1_8h,DOWN,H1f0,ENSMUSG00000096210.3,ENSMUSG00000096210,protein_coding,1549.49658888753,-1.127959329376162,8.820501148640444e-49
Lac_8h_vs_M1_8h,DOWN,Gm36496,ENSMUSG00000120697.2,ENSMUSG00000120697,lncRNA,162.30509843994048,-1.9917236057398215,2.7364296977622287e-42
Lac_8h_vs_M1_8h,DOWN,Yeats4,ENSMUSG00000020171.9,ENSMUSG00000020171,protein_coding,1091.4418809864978,-1.0463550998269011,2.631023552086367e-41
Lac_8h_vs_M1_8h,DOWN,Smim7,ENSMUSG00000044600.15,ENSMUSG00000044600,protein_coding,3570.6933803870143,-0.814034751440306,7.260792265056035e-37
Lac_8h_vs_M1_8h,DOWN,Slc31a2,ENSMUSG00000066152.12,ENSMUSG00000066152,protein_coding,5968.360346065207,-0.7680338213833922,1.0250276452149643e-32
Lac_8h_vs_M1_8h,DOWN,Il36a,ENSMUSG00000026984.5,ENSMUSG00000026984,protein_coding,142.9088705972516,-1.2564037416387732,1.6531693643672345e-32
Lac_8h_vs_M1_8h,DOWN,Cdk20,ENSMUSG00000021483.9,ENSMUSG00000021483,protein_coding,1227.9476358548227,-0.6889986899521802,1.5762474963817081e-31
Lac_8h_vs_M1_8h,DOWN,Gm57256,ENSMUSG00000120245.2,ENSMUSG00000120245,lncRNA,113.83454022264856,-1.689626160612533,3.072351472600825e-30
Lac_8h_vs_M1_8h,DOWN,Gm16378,ENSMUSG00000095762.2,ENSMUSG00000095762,processed_pseudogene,463.0241132193956,-1.389129155145382,1.5992529562850395e-29
