gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,gene_id_clean,contrast,gene_name_gtf,gene_type,gene_name_final,regulation_strict
ENSMUSG00000042104.19,NA,17.70591251127075,-0.6898588979999669,0.37544388152067015,-1.8374487691897212,0.06614367286290218,0.1073934791585368,NO,ENSMUSG00000042104,Lac_8h_vs_M1_8h,Uggt2,protein_coding,Uggt2,NS
ENSMUSG00000039994.16,NA,298.9434484549834,0.24674917349866823,0.13429222710589317,1.837404731579138,0.06615016884710362,0.10739377292733596,NO,ENSMUSG00000039994,Lac_8h_vs_M1_8h,Timeless,protein_coding,Timeless,NS
ENSMUSG00000058600.14,NA,10569.58072263055,-0.1615891178545249,0.08794664169555286,-1.8373540448980656,0.06615764628581286,0.10739565986412118,NO,ENSMUSG00000058600,Lac_8h_vs_M1_8h,Rpl30,protein_coding,Rpl30,NS
ENSMUSG00000114432.2,Gm49391,113.29121758172238,-0.36002860246149326,0.19599341047129115,-1.8369423828880704,0.06621840159866771,0.10748402573131076,NO,ENSMUSG00000114432,Lac_8h_vs_M1_8h,Gm49391,protein_coding,Gm49391,NS
ENSMUSG00000101077.2,Gm29164,10.42922249696031,-0.7473201967566716,0.4068378387731494,-1.8368994364198592,0.06622474251853996,0.10748405910195558,NO,ENSMUSG00000101077,Lac_8h_vs_M1_8h,Gm29164,processed_pseudogene,Gm29164,NS
ENSMUSG00000004994.13,NA,370.054227556721,-0.1420415377637433,0.07733653459595709,-1.8366679927648164,0.06625892310715979,0.10752927248404996,NO,ENSMUSG00000004994,Lac_8h_vs_M1_8h,Yju2b,protein_coding,Yju2b,NS
ENSMUSG00000021071.18,NA,7.561075235002148,-1.018683526870351,0.5547797477920569,-1.836194509486988,0.06632889442377035,0.107632555207122,NO,ENSMUSG00000021071,Lac_8h_vs_M1_8h,Trim9,protein_coding,Trim9,NS
ENSMUSG00000073434.13,NA,61.961851180129635,0.5965276889516051,0.3248891795418178,1.836095895199931,0.06634347529086809,0.10764594416529938,NO,ENSMUSG00000073434,Lac_8h_vs_M1_8h,Wdr90,protein_coding,Wdr90,NS
ENSMUSG00000097321.8,1700028E10Rik,5.447664064692589,-1.313694339626661,0.7155025273018436,-1.836044303827403,0.06635110451689423,0.1076480522242228,NO,ENSMUSG00000097321,Lac_8h_vs_M1_8h,1700028E10Rik,lncRNA,1700028E10Rik,NS
ENSMUSG00000007570.17,NA,230.39494955171995,0.16939667752640414,0.09229102420200976,1.8354621046963664,0.06643724903302967,0.10777753096019294,NO,ENSMUSG00000007570,Lac_8h_vs_M1_8h,Fance,protein_coding,Fance,NS
ENSMUSG00000136652.1,ENSMUSG00000136652,15.573264757630524,-0.7335981972633414,0.3998666203863209,-1.834607241171054,0.06656390499258896,0.1079726982357848,NO,ENSMUSG00000136652,Lac_8h_vs_M1_8h,ENSMUSG00000136652,lncRNA,ENSMUSG00000136652,NS
ENSMUSG00000021477.10,NA,103346.27741191164,-0.09587163565444548,0.05226245982745187,-1.83442639269128,0.06659072484103717,0.10800590049086106,NO,ENSMUSG00000021477,Lac_8h_vs_M1_8h,Ctsl,protein_coding,Ctsl,NS
ENSMUSG00000045251.14,NA,208.07717553527135,-0.1877019680123707,0.1023341908727198,-1.8342058153938872,0.06662344852368948,0.10804867114189046,NO,ENSMUSG00000045251,Lac_8h_vs_M1_8h,Zfp688,protein_coding,Zfp688,NS
ENSMUSG00000016921.15,NA,1976.1296599162104,-0.1556631109235804,0.08489261630174301,-1.8336472322903816,0.06670637619814206,0.108172845773396,NO,ENSMUSG00000016921,Lac_8h_vs_M1_8h,Srsf6,protein_coding,Srsf6,NS
ENSMUSG00000028188.14,NA,14.787874910274072,-0.6275041497689293,0.34223425123042994,-1.8335515732656,0.06672058633121625,0.10817525895210826,NO,ENSMUSG00000028188,Lac_8h_vs_M1_8h,Spata1,protein_coding,Spata1,NS
ENSMUSG00000028521.18,NA,206.8815052996957,-0.2102741622212422,0.11467891256898234,-1.8335904789361936,0.06671480659926005,0.10817525895210826,NO,ENSMUSG00000028521,Lac_8h_vs_M1_8h,Slc35d1,protein_coding,Slc35d1,NS
ENSMUSG00000103676.3,Gm38204,33.372081540483386,-0.33928302331061266,0.1850982178204559,-1.832989141147296,0.06680418595546027,0.1082901521645751,NO,ENSMUSG00000103676,Lac_8h_vs_M1_8h,Gm38204,lncRNA,Gm38204,NS
ENSMUSG00000081593.2,Gm11841,39.88599919710122,0.40505264614984743,0.22097635371211077,1.8330135299343036,0.06680055903047723,0.1082901521645751,NO,ENSMUSG00000081593,Lac_8h_vs_M1_8h,Gm11841,processed_pseudogene,Gm11841,NS
ENSMUSG00000047363.5,Cstad,6.991215682514556,-2.1036899042809822,1.1479420828987608,-1.8325749492246035,0.0668658063625393,0.10837186232025472,NO,ENSMUSG00000047363,Lac_8h_vs_M1_8h,Cstad,protein_coding,Cstad,NS
ENSMUSG00000048970.10,NA,1064.2656246394035,-0.1493236649082134,0.08148343595544119,-1.8325646575565409,0.06686733807635145,0.10837186232025472,NO,ENSMUSG00000048970,Lac_8h_vs_M1_8h,C1galt1c1,protein_coding,C1galt1c1,NS
ENSMUSG00000022584.15,NA,211.9291017570804,-0.3378149770300294,0.18439926369311033,-1.8319757371279088,0.0669550355175511,0.1085036529456331,NO,ENSMUSG00000022584,Lac_8h_vs_M1_8h,Ly6c2,protein_coding,Ly6c2,NS
ENSMUSG00000113255.2,Tes3-ps,578.1006945187785,0.18475367824516023,0.10087872761442006,1.831443383696591,0.06703439090438365,0.1086219010690756,NO,ENSMUSG00000113255,Lac_8h_vs_M1_8h,Tes3-ps,protein_coding,Tes3-ps,NS
ENSMUSG00000125386.1,ENSMUSG00000125386,8.868082466976581,-1.4590674139962283,0.7968749278642003,-1.8309867244874292,0.0671025245927399,0.10872194485748234,NO,ENSMUSG00000125386,Lac_8h_vs_M1_8h,ENSMUSG00000125386,lncRNA,ENSMUSG00000125386,NS
ENSMUSG00000081731.2,Calr-ps,236.7656212129625,-0.18743428868211345,0.10241795959179913,-1.8300920017266364,0.06723618274684856,0.10892812458730176,NO,ENSMUSG00000081731,Lac_8h_vs_M1_8h,Calr-ps,processed_pseudogene,Calr-ps,NS
ENSMUSG00000025915.15,NA,3417.483744919678,-0.17423476767579127,0.09521040315907528,-1.8299971630692915,0.06725036305376937,0.10893127141418746,NO,ENSMUSG00000025915,Lac_8h_vs_M1_8h,Sgk3,protein_coding,Sgk3,NS
ENSMUSG00000031246.15,NA,15066.263094155243,0.28077146322756924,0.15342758820458746,1.8299933311418253,0.06725093605654205,0.10893127141418746,NO,ENSMUSG00000031246,Lac_8h_vs_M1_8h,Sh3bgrl,protein_coding,Sh3bgrl,NS
ENSMUSG00000018841.18,NA,487.726941983888,-0.15233515120199015,0.08326928995940697,-1.8294277671426304,0.06733555107666997,0.10905794110569994,NO,ENSMUSG00000018841,Lac_8h_vs_M1_8h,Rad51d,protein_coding,Rad51d,NS
ENSMUSG00000044328.14,NA,302.3347040770453,0.2900293267413784,0.1585462472693591,1.829304267597319,0.06735403970966354,0.10907749731478318,NO,ENSMUSG00000044328,Lac_8h_vs_M1_8h,Trp53i13,protein_coding,Trp53i13,NS
ENSMUSG00000107770.2,Gm44126,184.07267600632576,-0.20721880938690715,0.113349937969577,-1.8281334167339771,0.06752953083548774,0.1093512856016287,NO,ENSMUSG00000107770,Lac_8h_vs_M1_8h,Gm44126,processed_pseudogene,Gm44126,NS
ENSMUSG00000042410.17,NA,3494.123356305034,0.17178190269180582,0.09400636299572566,1.8273433544026856,0.06764816052019756,0.10953295418513566,NO,ENSMUSG00000042410,Lac_8h_vs_M1_8h,Agps,protein_coding,Agps,NS
ENSMUSG00000018470.9,Kcnab3,14.210698774235352,1.7668371309224116,0.9670978101906416,1.8269477112910837,0.06770763164129842,0.10961058274797722,NO,ENSMUSG00000018470,Lac_8h_vs_M1_8h,Kcnab3,protein_coding,Kcnab3,NS
ENSMUSG00000064356.1,mt-Atp8,7076.974654997492,0.601298560310501,0.3291290391364649,1.8269386435427473,0.06770899516450081,0.10961058274797722,NO,ENSMUSG00000064356,Lac_8h_vs_M1_8h,mt-Atp8,protein_coding,mt-Atp8,NS
ENSMUSG00000078765.12,NA,32.416954190182125,-0.3920904494283304,0.21465996424852743,-1.8265653346255977,0.06776514947911579,0.10969104626326318,NO,ENSMUSG00000078765,Lac_8h_vs_M1_8h,U2af1l4,protein_coding,U2af1l4,NS
ENSMUSG00000029388.15,NA,982.9743051086044,-0.1163629944297728,0.0637158424435718,-1.8262804032266624,0.06780803554004158,0.10975001926277216,NO,ENSMUSG00000029388,Lac_8h_vs_M1_8h,Eif2b1,protein_coding,Eif2b1,NS
ENSMUSG00000031887.14,NA,1072.792862646087,-0.14855266807617018,0.08135652576935817,-1.8259465564853377,0.06785831242696029,0.10982094224713423,NO,ENSMUSG00000031887,Lac_8h_vs_M1_8h,Tradd,protein_coding,Tradd,NS
ENSMUSG00000097303.5,3110083C13Rik,4.919792531460568,-1.8602322233810136,1.0191329969315868,-1.825308599546688,0.06795447319394615,0.1099661024965504,NO,ENSMUSG00000097303,Lac_8h_vs_M1_8h,3110083C13Rik,lncRNA,3110083C13Rik,NS
ENSMUSG00000120179.2,Gm57255,20.181686950435846,-0.7992863831824708,0.4379951516770684,-1.8248749560857709,0.06801990126220989,0.1100615072183769,NO,ENSMUSG00000120179,Lac_8h_vs_M1_8h,Gm57255,lncRNA,Gm57255,NS
ENSMUSG00000085361.3,Gm16305,75.11271068075017,-0.2516425534786781,0.13790476851838135,-1.8247559977966723,0.06803785872541881,0.1100800899519049,NO,ENSMUSG00000085361,Lac_8h_vs_M1_8h,Gm16305,processed_pseudogene,Gm16305,NS
ENSMUSG00000022109.7,Med4,748.2130952667133,-0.13552721740786614,0.07429042660237474,-1.824289125882256,0.0681083735049104,0.11018369480826734,NO,ENSMUSG00000022109,Lac_8h_vs_M1_8h,Med4,protein_coding,Med4,NS
ENSMUSG00000085148.2,Mir22hg,720.9975660831986,-0.15262073024569353,0.08366329711806249,-1.8242256222620643,0.06811796952155476,0.11018873677195476,NO,ENSMUSG00000085148,Lac_8h_vs_M1_8h,Mir22hg,lncRNA,Mir22hg,NS
ENSMUSG00000031078.16,NA,99.37376859002616,0.20361387705642112,0.11162052269069785,1.8241616518911876,0.0681276371927831,0.11019389367514452,NO,ENSMUSG00000031078,Lac_8h_vs_M1_8h,Cttn,protein_coding,Cttn,NS
ENSMUSG00000033184.15,NA,2791.3450431461383,0.19989249295381384,0.10959939815622796,1.8238466297860323,0.0681752621014428,0.11026043816425452,NO,ENSMUSG00000033184,Lac_8h_vs_M1_8h,Tmed7,protein_coding,Tmed7,NS
ENSMUSG00000105504.5,Gbp5,8666.75966391596,0.25386913420613433,0.13927603680882175,1.8227768395981112,0.06833719689405128,0.1105013188533076,NO,ENSMUSG00000105504,Lac_8h_vs_M1_8h,Gbp5,protein_coding,Gbp5,NS
ENSMUSG00000069267.3,H3c2,9.254112811830256,-0.7631206148445185,0.4186575373853067,-1.822780068909136,0.06833670759586616,0.1105013188533076,NO,ENSMUSG00000069267,Lac_8h_vs_M1_8h,H3c2,protein_coding,H3c2,NS
