gene_symbol,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj,regulation,abs_log2FC,rank_score
Serpine1,ENSMUSG00000037411.12,ENSMUSG00000037411,protein_coding,16117.5326821036,3.110050464399193,1.1090633037504367e-121,UP,3.110050464399193,376.1762897193762
Nos2,ENSMUSG00000020826.10,ENSMUSG00000020826,protein_coding,24104.52636928401,3.20459754376699,1.5167983094116946e-106,UP,3.20459754376699,339.10753874064955
Dusp1,ENSMUSG00000024190.8,ENSMUSG00000024190,protein_coding,5659.963924419032,1.7617143473423968,2.166110166009072e-100,UP,1.7617143473423968,175.58006150974737
Spp1,ENSMUSG00000029304.15,ENSMUSG00000029304,protein_coding,281444.80231556983,1.3639302034913356,8.2274556271432e-83,UP,1.3639302034913356,111.95784856368424
Irak2,ENSMUSG00000060477.15,ENSMUSG00000060477,protein_coding,5224.806045199793,0.9221559956052718,1.052337332260597e-52,UP,0.9221559956052718,47.9316814261276
Maged1,ENSMUSG00000025151.17,ENSMUSG00000025151,protein_coding,3418.0319653842644,0.7719080008005885,1.3914399830328715e-51,UP,0.7719080008005885,39.25656666192599
Hcar2,ENSMUSG00000045502.7,ENSMUSG00000045502,protein_coding,2496.2703813365124,2.567501691723983,5.428341466717623e-49,UP,2.567501691723983,123.92132372116292
Tatdn2,ENSMUSG00000056952.14,ENSMUSG00000056952,protein_coding,2806.9645123368864,0.9935788605068976,5.428341466717623e-49,UP,0.9935788605068976,47.95541440625308
Cd9,ENSMUSG00000030342.9,ENSMUSG00000030342,protein_coding,12792.433176975326,1.1816327871706267,1.179706352370371e-48,UP,1.1816327871706267,56.633563369452325
Csrnp1,ENSMUSG00000032515.9,ENSMUSG00000032515,protein_coding,1248.9504326732392,1.3561570597151111,1.5837102740216262e-48,UP,1.3561570597151111,64.8247472098267
Rabgef1,ENSMUSG00000025340.15,ENSMUSG00000025340,protein_coding,1874.365578458677,0.740070448058033,2.700169499905195e-47,UP,0.740070448058033,34.46405130784288
Slc6a12,ENSMUSG00000030109.16,ENSMUSG00000030109,protein_coding,183.3977720303695,2.675503365913509,3.275083266010594e-46,UP,2.675503365913509,121.69467571107776
