gene_symbol,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj,regulation,abs_log2FC,rank_score
Recql,ENSMUSG00000030243.17,ENSMUSG00000030243,protein_coding,362.5065682459977,-1.000374547474734,1.3417924373510515e-18,DOWN,1.000374547474734,17.879008690559886
Cdca7l,ENSMUSG00000021175.16,ENSMUSG00000021175,protein_coding,398.3364185091506,-0.7121168507119238,1.353889627527783e-18,DOWN,0.7121168507119238,12.72440065537161
5730409E04Rik,ENSMUSG00000073755.5,ENSMUSG00000073755,protein_coding,300.66923705321864,-0.8690264513304287,1.4544794315194663e-18,DOWN,0.8690264513304287,15.501078929564782
Pter,ENSMUSG00000026730.13,ENSMUSG00000026730,protein_coding,169.08530206457337,-1.1251125181939852,2.3432110124539355e-18,DOWN,1.1251125181939852,19.835945892268708
Cyb5r1,ENSMUSG00000026456.19,ENSMUSG00000026456,protein_coding,1773.465322638919,-0.5273600424482567,2.9421149149737566e-18,DOWN,0.5273600424482567,9.245328400817522
Slc1a5,ENSMUSG00000001918.18,ENSMUSG00000001918,protein_coding,640.4155454281066,-0.7611917950743748,4.971163682720706e-18,DOWN,0.7611917950743748,13.17131414805904
Atad3a,ENSMUSG00000029036.19,ENSMUSG00000029036,protein_coding,351.71783157858425,-1.0311003462910602,1.533795180178202e-17,DOWN,1.0311003462910602,17.33716108874978
Gpr65,ENSMUSG00000021886.8,ENSMUSG00000021886,protein_coding,786.7270643531888,-0.8212499659708855,1.533795180178202e-17,DOWN,0.8212499659708855,13.80868797628001
Skic2,ENSMUSG00000040356.17,ENSMUSG00000040356,protein_coding,1518.0937959941505,-0.6955791741072408,1.5667214692910806e-17,DOWN,0.6955791741072408,11.689213728277078
Fam3c,ENSMUSG00000029672.17,ENSMUSG00000029672,protein_coding,537.1799100341582,-0.7906212366393736,2.7674465304298116e-17,DOWN,0.7906212366393736,13.0910437884998
Prkacb,ENSMUSG00000005034.16,ENSMUSG00000005034,protein_coding,3633.345880921122,-0.7096416314562326,2.8964502598521864e-17,DOWN,0.7096416314562326,11.736148339885956
Mat2a,ENSMUSG00000053907.11,ENSMUSG00000053907,protein_coding,2450.0478611409126,-1.4885380488334092,3.381413516308591e-17,DOWN,1.4885380488334092,24.51756390241038
Tmem175,ENSMUSG00000013495.16,ENSMUSG00000013495,protein_coding,481.0595547773881,-0.7428076469836618,3.571117151661541e-17,DOWN,0.7428076469836618,12.217102887742227
Naaa,ENSMUSG00000029413.15,ENSMUSG00000029413,protein_coding,898.0804378144535,-0.671399761818879,3.8264993939649445e-17,DOWN,0.671399761818879,11.022503062673524
Mrc1,ENSMUSG00000026712.4,ENSMUSG00000026712,protein_coding,19242.819726364745,-1.1652817113726015,6.184691272413457e-17,DOWN,1.1652817113726015,18.887680670476524
