gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,gene_id_clean,gene_name_gtf,gene_type,gene_symbol,regulation_strict,abs_log2FC,rank_score
ENSMUSG00000030047.15,NA,2802.3285648641368,0.5521793168336228,0.04068484891876674,13.572111769079678,5.86087844881742e-42,3.9094403604991706e-39,UP,ENSMUSG00000030047,Arhgap25,protein_coding,Arhgap25,UP,0.5521793168336228,21.208039925478595
ENSMUSG00000026628.14,NA,23189.830271719537,1.294635207869531,0.09581595035328735,13.511687804546344,1.334269962856725e-41,8.557802269461056e-39,UP,ENSMUSG00000026628,Atf3,protein_coding,Atf3,UP,1.294635207869531,49.28370411447055
ENSMUSG00000043953.13,NA,4717.512696988013,1.582375934531031,0.11717442392450608,13.504448168232813,1.4721266071258777e-41,9.092290111270794e-39,UP,ENSMUSG00000043953,Ccrl2,protein_coding,Ccrl2,UP,1.582375934531031,60.19567991227349
ENSMUSG00000031485.16,NA,1487.814681960473,-0.6575688257883026,0.04936247526640711,-13.321228772249212,1.7421630871264883e-40,1.037582558604333e-37,DOWN,ENSMUSG00000031485,Plpbp,protein_coding,Plpbp,DOWN,0.6575688257883026,24.319510550603262
ENSMUSG00000058755.4,Osm,502.6858230912767,1.4253719083904943,0.10728556245788504,13.285775604243344,2.7994261395483143e-40,1.6097665621761275e-37,UP,ENSMUSG00000058755,Osm,protein_coding,Osm,UP,1.4253719083904943,52.44404657816754
ENSMUSG00000028420.14,NA,2781.54985162457,0.975666389977238,0.07384318094609069,13.212680947337905,7.413613828071765e-40,4.120980806564159e-37,UP,ENSMUSG00000028420,Tmem38b,protein_coding,Tmem38b,UP,0.975666389977238,35.49962102191643
ENSMUSG00000032487.9,Ptgs2,21393.731903522432,2.294324309823893,0.17764741078044696,12.915045030740302,3.702274058986006e-38,1.9915845873435688e-35,UP,ENSMUSG00000032487,Ptgs2,protein_coding,Ptgs2,UP,2.294324309823893,79.61489186296515
ENSMUSG00000058427.11,NA,8585.478890540027,1.9632384318324243,0.15446807118527262,12.709671434154636,5.225352694167038e-37,2.7230619227477973e-34,UP,ENSMUSG00000058427,Cxcl2,protein_coding,Cxcl2,UP,1.9632384318324243,65.89598504416415
ENSMUSG00000031444.17,NA,1208.9541866767288,1.0765323334651502,0.0850128398398524,12.663173415840795,9.459663300194085e-37,4.780283187698077e-34,UP,ENSMUSG00000031444,F10,protein_coding,F10,UP,1.0765323334651502,35.87064554107073
ENSMUSG00000047592.18,NA,1501.67775472327,-1.4747622640530955,0.1165259214013417,-12.65608755818098,1.0353183680731902e-36,5.077932089996622e-34,DOWN,ENSMUSG00000047592,Nxpe5,protein_coding,Nxpe5,DOWN,1.4747622640530955,49.101196584385605
