gene_symbol,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj,regulation,abs_log2FC,rank_score
Id1,ENSMUSG00000042745.10,ENSMUSG00000042745,protein_coding,490.9446750492747,1.7585673233900605,7.297434953700202e-32,UP,1.7585673233900605,54.756211382984304
Tes,ENSMUSG00000029552.20,ENSMUSG00000029552,protein_coding,4670.82250301028,0.8393599944941562,7.499081691019561e-32,UP,0.8393599944941562,26.12507304274113
Stx3,ENSMUSG00000041488.17,ENSMUSG00000041488,protein_coding,1708.5517301115735,0.6664865647722726,1.1210865202954696e-31,UP,0.6664865647722726,20.627999694217444
Mdm2,ENSMUSG00000020184.16,ENSMUSG00000020184,protein_coding,11709.96066628466,0.7140986981867189,1.338776939820551e-31,UP,0.7140986981867189,22.046577466615954
Anxa6,ENSMUSG00000018340.14,ENSMUSG00000018340,protein_coding,18999.92692586295,0.5285034657972342,1.1230887645965067e-28,UP,0.5285034657972342,14.771453024956267
Mpzl1,ENSMUSG00000026566.16,ENSMUSG00000026566,protein_coding,554.5385771153118,0.7862088549226632,1.2082983564505116e-28,UP,0.7862088549226632,21.94924186613824
Layn,ENSMUSG00000060594.7,ENSMUSG00000060594,protein_coding,794.8189276760385,0.883929699893604,2.54708506524688e-28,UP,0.883929699893604,24.391117732666032
Cnn2,ENSMUSG00000004665.11,ENSMUSG00000004665,protein_coding,2786.4849364242705,0.9213387433548716,3.520731220984824e-28,UP,0.9213387433548716,25.293850771026392
Osgin2,ENSMUSG00000041153.10,ENSMUSG00000041153,protein_coding,799.1065688149453,0.8474209322434776,3.7590416959991964e-28,UP,0.8474209322434776,23.240453694170156
Jdp2,ENSMUSG00000034271.17,ENSMUSG00000034271,protein_coding,1936.0764506264477,0.8494678016189372,4.0578062701482965e-28,UP,0.8494678016189372,23.268374564428537
Bhlhe40,ENSMUSG00000030103.12,ENSMUSG00000030103,protein_coding,1096.266448340651,0.8902579216817799,7.391927156050939e-28,UP,0.8902579216817799,24.153803401813388
Plin2,ENSMUSG00000028494.13,ENSMUSG00000028494,protein_coding,46783.30366581947,0.6214061628638226,9.85539791743656e-28,UP,0.6214061628638226,16.781897310884407
F11r,ENSMUSG00000038235.5,ENSMUSG00000038235,protein_coding,585.4337058071412,1.1055743816841508,1.5848703099757933e-27,UP,1.1055743816841508,29.6294003614553
Best1,ENSMUSG00000037418.7,ENSMUSG00000037418,protein_coding,142.7188036536914,1.3032679306353572,1.7719545424203958e-27,UP,1.3032679306353572,34.86443385212939
Slc2a1,ENSMUSG00000028645.12,ENSMUSG00000028645,protein_coding,19908.7508933275,1.0595069471768348,3.5184996284135166e-27,UP,1.0595069471768348,28.027817996819326
Btg1,ENSMUSG00000036478.9,ENSMUSG00000036478,protein_coding,8843.78762824891,0.833344439584624,3.6123227910567835e-27,UP,0.833344439584624,22.035471547870532
Mmp13,ENSMUSG00000050578.11,ENSMUSG00000050578,protein_coding,32520.46578403572,1.178498008253483,5.259224053110542e-27,UP,1.178498008253483,30.96984146711623
Oser1,ENSMUSG00000035399.13,ENSMUSG00000035399,protein_coding,2178.851956042168,0.6164505482654249,1.0037771522722896e-26,UP,0.6164505482654249,16.02670493662426
Rhov,ENSMUSG00000034226.8,ENSMUSG00000034226,protein_coding,711.2957566694969,1.367169168581565,1.8033124091165817e-26,UP,1.367169168581565,35.196306046320395
Ubap1,ENSMUSG00000028437.15,ENSMUSG00000028437,protein_coding,5053.687563049299,0.5716183356722618,1.815995924853924e-26,UP,0.5716183356722618,14.713961916960349
Nyap1,ENSMUSG00000045348.17,ENSMUSG00000045348,protein_coding,208.0171024715895,1.3330876623928427,1.9970528165351354e-26,UP,1.3330876623928427,34.259833617980085
Ndrg1,ENSMUSG00000005125.14,ENSMUSG00000005125,protein_coding,3719.008870987512,0.919932256648884,2.1886440478567154e-26,UP,0.919932256648884,23.60530059288147
Birc3,ENSMUSG00000032000.18,ENSMUSG00000032000,protein_coding,4513.683236088035,0.5539179944001523,3.3225278778206524e-26,UP,0.5539179944001523,14.113016994739002
Amz1,ENSMUSG00000050022.17,ENSMUSG00000050022,protein_coding,100.31542437360474,1.5565601596450778,2.165730750806911e-25,UP,1.5565601596450778,38.39161545455496
Tnfaip3,ENSMUSG00000019850.12,ENSMUSG00000019850,protein_coding,10551.722169706129,0.95236621338263,2.192673552630842e-25,UP,0.95236621338263,23.484423237984682
Impa2,ENSMUSG00000024525.8,ENSMUSG00000024525,protein_coding,977.812117069318,1.0881516484068603,4.456048350405518e-25,UP,1.0881516484068603,26.49763531272844
Aldoa,ENSMUSG00000030695.17,ENSMUSG00000030695,protein_coding,133064.79506543343,0.7280168291289739,1.0613047525646749e-24,UP,0.7280168291289739,17.453591864860883
Gstt1,ENSMUSG00000001663.11,ENSMUSG00000001663,protein_coding,489.4719631738528,0.9092301578363416,1.9768301134422254e-24,UP,0.9092301578363416,21.552419530950203
Phf13,ENSMUSG00000047777.10,ENSMUSG00000047777,protein_coding,812.5453068103419,0.6785705076443251,3.4471401101694316e-24,UP,0.6785705076443251,15.920988400551868
Pgam1,ENSMUSG00000011752.8,ENSMUSG00000011752,protein_coding,68487.91495169971,0.555060571497599,4.0134000801952995e-24,UP,0.555060571497599,12.98646774775622
