condition,n,mean_input_reads,sd_input_reads,mean_unique_percent,sd_unique_percent,mean_multi_percent,sd_multi_percent,mean_assigned_reads,sd_assigned_reads,mean_assigned_percent_fc,sd_assigned_percent_fc
BMDM_0h,4,38050028.5,2260283.9924405515,86.7025,0.37016888037759266,8.06,0.1710750322714174,38839154.75,2274106.358449897,92.97843321315113,0.6012951249157109
M1_4h,4,55445914.75,4308415.767983507,86.28,0.6921464199623244,8.0425,0.062383224240709634,56440142,4752316.576897419,93.4062858772069,0.16064854513908872
M1_8h,4,45346415.25,1532720.3163431077,87.5025,1.302366435890194,8.5,0.2070426687102605,47229186.75,1811353.986787485,93.25122903083343,0.4103638587513647
M1_16h,4,48281696,4255885.56552797,87.5475,0.37052890125692517,8.1075,0.314682379551191,49886522.75,4561052.750223452,93.39122037772465,0.21392068380224388
M1_24h,4,41750641.75,3939778.678268563,88.02,0.8295782060782458,8.41,0.3632262839241312,43790106.75,4430849.967793265,93.35057039801977,0.25475382449073325
M1_Lac_8h,4,48172198,7993920.016547868,89.1075,0.29021543721862664,7.8925,0.10965856099730617,49932524.5,8417602.605947392,92.70428871767669,0.17183472632001956
M1_Lac_16h,4,42504801.75,7012556.955321379,87.92,0.7967852073593413,7.7325,0.1512999228904849,43663091.5,6858041.413134633,93.3494985022596,0.18247318831876386
M1_Lac_24h,4,45625228.5,8309570.89295047,88.04249999999999,0.8651926567726629,8.695,0.1340397950858875,48557346,8762683.296513613,93.667632583792,0.27145077730961553
