sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,geo_accession,time,treatment,lactate,condition,srr_number,input_reads,unique_reads,unique_percent,multi_reads,multi_percent,assigned_reads,total_featurecounts,assigned_percent_fc,unassigned_no_features,assay_type,instrument,platform,library_layout,library_selection,library_source,center_name,bioproject,sra_study,biosample,avg_spot_len,bases,bytes,release_date,create_date,sra_time,sra_treatment,log10_input_reads,log10_assigned_reads
SRR7264071,55.03338005287468,19.23328016397315,8.71661933321939,12.453427031785798,-30.61793342626598,-6.740692922343549,1.8062423286561597,5.245931629325441,5.8483963472734155,-2.3850002307040388,-7.086001660764285,3.9337663001665,-3.9633663214205317,-1.195785053940652,-1.790492095759215,3.8163553279981546,-3.5424255740099437,0.8653475523794625,7.120070338136376,-7.01925482091452,1.5713959157702564,-2.3074399540959787,0.9933451175197626,1.3305870118912384,-7.8258805576420025,-2.16337005398364,-2.8656265153314653,0.7753732306585799,0.9649515382048546,0.9579817953960956,-0.6845732340521551,3.658184866139891e-14,GSM3176461,8h,LPS/IFNg,no_LA,M1_8h,7264071,44619225,39631118,88.82,3899283,8.74,47505201,50711955,93.67653248627468,1876413,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368999,100,4562478725,1962928041,2019-08-07T00:00:00Z,2018-06-05T13:39:00Z,8h,LPS/IFNg,7.649522022667978,7.676741159981665
SRR7264072,51.367588940672775,20.032569994851894,8.236882332375652,11.713405199499178,-33.79054041202252,-7.312539375544166,2.3003240381977297,5.47909305286607,3.618677555221289,-3.2686469101134006,-3.95881704273173,1.4577275493762756,-1.3166989441849675,-2.0234824370034383,2.276887192211312,-2.0651115717229267,5.746556069216714,-3.1028440381329743,-8.07383745609793,5.972737236053155,2.4165820865318612,-3.0992609775334987,-7.884712406085816,-3.275618080494984,-0.5539509604657931,0.011669982416621302,3.656141058921307,-0.9050893410994907,-1.3982252895772183,-0.2979075594578022,-0.42770261895740086,5.748179709996748e-14,GSM3176462,8h,LPS/IFNg,no_LA,M1_8h,7264072,46526949,40041713,86.06,3942855,8.47,47896763,51218022,93.51544852708291,1989471,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368997,100,4758135148,2038366850,2019-08-07T00:00:00Z,2018-06-05T13:31:00Z,8h,LPS/IFNg,7.667704574650014,7.680306163545227
SRR7264073,-27.46764152910411,19.08217379740648,0.20924830754197984,-29.301227425087394,-15.465906434190963,-0.9876022804228201,0.010260633473848764,-7.93425430644599,-6.498715837903981,2.3613371351308428,8.579242376532013,2.8823421478848026,-3.1216662366422443,-5.722182715364076,-2.907843012867017,-1.7020188333718271,-0.873583692809835,0.918824422863579,1.0141855079682764,3.431831970691086,-0.6672964686241766,2.853633243214635,-1.4699652288139575,2.5210728336807207,-9.442743195055012,4.3318277354070185,3.4487252072300327,-3.0840103447317753,1.794272967097673,-1.6141431664484889,0.9813028753298906,4.770836503631415e-14,GSM3176463,16h,LPS/IFNg,no_LA,M1_16h,7264073,44475388,39119480,87.96,3558624,8,45964499,49225208,93.37593657298513,1973931,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368996,100,4561750529,1983295490,2019-08-07T00:00:00Z,2018-06-05T13:26:00Z,16h,LPS/IFNg,7.648119745525473,7.662422530791871
SRR7264074,-28.851467857252352,20.901444677379338,-13.815210434032512,-22.884767712533357,-25.19293609488679,-0.44004790223283313,4.6461934393118085,-13.115876953138867,0.3359925717800045,3.70321587666762,0.33410232406870516,-5.238332268220339,2.5127089855537244,0.3124078683183797,0.4517741715217125,4.395623018196563,0.3245068140501673,-1.8822423876022276,3.009003404275971,0.10427786029331702,0.14371379924859745,-4.129809101637698,2.531888949447305,-4.389907453542533,2.8739617824782355,-4.002512074979417,0.4658443950499761,-2.4062699841993784,-4.398909127854466,-2.1054999065214597,-7.802044517627083,3.622102617839573e-14,GSM3176464,16h,LPS/IFNg,no_LA,M1_16h,7264074,47550480,41656848,87.61,3975455,8.36,49505516,52967625,93.46372619123474,2062341,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368994,100,4875098540,2095120929,2019-08-07T00:00:00Z,2018-06-05T13:38:00Z,16h,LPS/IFNg,7.677154905296549,7.694653591557767
SRR7264075,-28.665862843499312,20.752668504495773,-11.036632509477563,-22.720927013083994,-21.880549231509836,0.08715172215008224,2.264984782809667,-8.869047434718178,1.8632093124599742,4.533417884304455,-3.480724514369137,-0.4814977385403034,4.331477855926784,3.834647403620798,-0.4676844035105757,0.7582681637491864,-0.042100698637348506,-2.0034684997006615,-1.9536850391942209,-0.9655922135821483,3.505486165459952,-1.2283190674055224,2.1325762024564523,-1.041381485415117,2.170307581588354,-1.7332964511798135,0.5373700162522483,3.6454820344078596,5.512088753700457,2.051618528345235,10.598467738582745,4.236715145378156e-14,GSM3176465,16h,LPS/IFNg,no_LA,M1_16h,7264075,54359688,47594723,87.56,4546597,8.36,56375326,60548639,93.10750320911424,2588748,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368992,100,5578644653,2431922284,2019-08-07T00:00:00Z,2018-06-05T13:37:00Z,16h,LPS/IFNg,7.735276955413893,7.751089066275671
SRR7264076,-26.94156302559237,20.761712702193677,5.294008541689557,-30.161490661398624,-7.164388311501348,2.2045176084711477,0.5313144437066231,-0.03640982317938388,3.2345352534327496,4.550976772626281,-0.09091032611162467,10.06996399150735,-2.1287182802057956,6.1217492780468445,0.500723300862303,-4.878044885121668,-2.3119898549646285,-0.53382798221641925,-2.198589315629935,-4.776261643185379,-5.215761538028228,2.626880900654278,-6.698251908642562,2.421693562782831,4.423812758000863,1.2174803530563298,-4.440406037821773,1.57348149376674,-1.5972513233519163,1.2758299992472675,-3.2557935367527913,4.469861980549439e-14,GSM3176466,16h,LPS/IFNg,no_LA,M1_16h,7264076,46741228,40694032,87.06,3602653,7.71,47700750,50952696,93.6177155375645,1956495,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368990,100,4797924380,2084674876,2019-08-07T00:00:00Z,2018-06-05T13:47:00Z,16h,LPS/IFNg,7.669700118125058,7.678525207516021
SRR7264077,-50.58939961905116,14.880106832892508,-15.245972121491853,1.5666868535562406,0.0032902264391932307,19.191974644900537,0.7680497794721611,6.392660713120076,-8.658159054471202,8.461212615818642,-4.878646056237642,-3.1669037628558834,-7.6558337764912885,-4.367693657970191,8.497929848596646,-4.237594919781231,-4.381656806461285,0.9571513127820357,-2.679260321672071,-0.7915894341076686,3.4585413557833617,-4.283664364785111,2.606872370149195,2.7763737110722277,0.46218305355823985,-0.32492175342164425,0.28308894583133876,-0.925035836018776,-0.24759684647712904,0.6519859521280287,-0.3870965951507759,5.667688540711424e-14,GSM3176467,24h,LPS/IFNg,no_LA,M1_24h,7264077,44085189,39122974,88.74,3595587,8.16,46360417,49538383,93.58484107161915,1897966,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368988,100,4504585153,1966378329,2019-08-07T00:00:00Z,2018-06-05T13:34:00Z,24h,LPS/IFNg,7.644292707019666,7.666147333676038
SRR7264078,-48.59234834157751,9.174226570207301,-17.944943129364738,-8.156860219861088,-9.376667169288124,18.22640989410757,5.343351592520336,1.2175040119127858,-2.7392310267864106,-14.92825596818975,-1.948891805725138,-2.9125185219625633,4.2163015527311165,-5.5652302192613945,1.6479983644909546,6.586773052693828,0.3539204089342825,1.9436892045967664,-2.6535859632926626,-2.8503609839403627,0.9853910421357884,7.0297737482110385,-2.4688493577449773,-0.5255679316998566,0.9983172492801133,2.82296870597337,-3.836527492810859,0.031305943297353894,-0.7036813213566201,1.0790518937759646,0.1396823609461919,9.087869345947297e-14,GSM3176468,24h,LPS/IFNg,no_LA,M1_24h,7264078,45658421,40434196,88.56,3887306,8.51,48096391,51502839,93.38590247423059,2011622,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368987,100,4676195177,2021891304,2019-08-07T00:00:00Z,2018-06-05T13:29:00Z,24h,LPS/IFNg,7.659520888257054,7.682112489521671
SRR7264079,-49.11535225523031,10.7532525855767,-6.5603289990684015,-6.284993789901032,5.276480396130999,20.585690757824914,-0.1004088281782081,8.975123627990424,-7.58895048283834,-7.18476085496062,-1.9755841901256386,1.565421582970291,-1.6398451762221609,7.212547170333045,-8.447108889172867,-2.07698473713687,4.480689898304252,-4.0074855965257274,4.814252067873611,3.3288689998297065,-3.2149771898265502,-3.035762002823163,0.5454711832382271,-1.041946510622147,-1.3289387871962106,-3.9482675607141466,2.7533590053360872,0.32726976442325734,0.6425908339032069,-0.8377164463360026,0.2245679822627724,4.4776682361913345e-14,GSM3176469,24h,LPS/IFNg,no_LA,M1_24h,7264079,36846027,32377607,87.87,2979616,8.09,38104262,40976868,92.98968871901093,1804697,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368985,100,3776202555,1640405752,2019-08-07T00:00:00Z,2018-06-05T13:23:00Z,24h,LPS/IFNg,7.566390666007866,7.580973554666747
SRR7264080,-53.91101534636699,22.141296053957927,-29.02499374132036,16.93033637176842,-13.233859248391175,8.85525486298934,-34.53889614924197,2.109524301461817,10.640291670254001,1.7178644965972447,4.389086989096255,0.5531535607891064,3.148278381250016,-0.2839984276549518,0.7095888517185557,-0.01261074206809637,0.665833420047121,2.6551068117218772,0.26386572837669586,0.1543205933787655,-0.5457762247310448,-0.38794712711491663,1.0854723583828139,-1.0470497034606143,-0.27062301022103347,0.84381630592324,0.6296701802248373,0.6085784827331141,-0.37097043509405814,-0.4921729813832039,-0.29393113230504864,5.967448757360216e-14,GSM3176470,24h,LPS/IFNg,no_LA,M1_24h,7264080,40412930,35121121,86.91,3586982,8.88,42599357,45589163,93.4418493272184,1886284,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368984,100,4133254022,1777304826,2019-08-07T00:00:00Z,2018-06-05T13:30:00Z,24h,LPS/IFNg,7.606520338606527,7.629403043857193
