sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,geo_accession,time,treatment,lactate,condition,srr_number,input_reads,unique_reads,unique_percent,multi_reads,multi_percent,assigned_reads,total_featurecounts,assigned_percent_fc,unassigned_no_features,assay_type,instrument,platform,library_layout,library_selection,library_source,center_name,bioproject,sra_study,biosample,avg_spot_len,bases,bytes,release_date,create_date,sra_time,sra_treatment,log10_input_reads,log10_assigned_reads
SRR7264081,53.63702549609288,16.266803096118565,46.32650502614363,11.677236569803549,11.402742638791723,7.877176067558179,-1.7193637993509259,-7.350807785099142,-0.9190540934996776,1.1112646647055109,-0.5370861552220917,-3.3312600097681906,4.294073143745209,-8.886480516599402,-5.3274959641753465,-5.224616648548033,2.2866655974048875,-4.03573271355105,1.704520808378142,-5.00216023699983,-1.7704416945072818,-5.094222962609645,-1.98385838191464,2.136974729169605,1.51485205349865,3.700072123467072,-1.032678476492915,4.347797898177839,-3.980880233297977,-1.5516561421591142,1.8938766121108428,5.670464098272987e-14,GSM3176471,8h,"LPS/IFNg, lactic acid (LA)",LA,M1_Lac_8h,7264081,41259470,36842999,89.3,3213790,7.79,42773193,46067249,92.84946231540764,2201403,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368982,100,4229630251,1836267185,2019-08-07T00:00:00Z,2018-06-05T13:39:00Z,8h,"LPS/IFNg\, lactic acid (LA)",7.615523644927638,7.631171671358543
SRR7264082,56.28145671737442,12.764587847403012,44.21069533809615,9.823903438062532,10.268436093249374,8.274387225531882,-1.7127433702048898,-6.858927198274126,-0.568853922181098,1.1996761499894006,-0.45750308077107354,2.574370239397773,-0.16494153973988684,2.386935479723879,3.390294441840637,3.2969079240177357,-0.8884469071081607,3.8341971103657695,-0.8409920265677516,2.5855714463294883,1.4637725101643835,6.457833203158352,-0.9246642749610958,4.600195474948687,-1.3295831776667075,-9.065022837828744,4.177265248503348,3.5764844274873315,-4.804433534979509,-3.140711750421246,1.3347452354076232,4.959921362512887e-14,GSM3176472,8h,"LPS/IFNg, lactic acid (LA)",LA,M1_Lac_8h,7264082,46760683,41771448,89.33,3708768,7.93,48658403,52430473,92.8055770162516,2516977,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368980,100,4786318279,2127053979,2019-08-07T00:00:00Z,2018-06-05T13:37:00Z,8h,"LPS/IFNg\, lactic acid (LA)",7.669880845966381,7.687157851005216
SRR7264083,50.56696941010567,15.210855511031996,46.568762962736656,11.5836711402852,10.306338161826586,6.849036302275128,-3.8718403235805576,-7.306770197785223,2.6979011852233215,-2.44284343637222,1.1604350733660735,-1.4224984457758387,0.359010367511419,-0.5931104493431705,-0.2003323765775012,-2.000498433916686,0.3604594179564219,-2.2292290422507346,-1.8098923727735223,0.4990509154024082,0.3578764683597087,0.4995255856326583,-0.08706608996850113,1.9256478089426559,1.3999289705511322,-4.280537004613979,-3.2673719778515844,-7.6502611920121675,9.786408486882072,3.6058763639524702,-3.5162677015930126,6.167288901792745e-14,GSM3176473,8h,"LPS/IFNg, lactic acid (LA)",LA,M1_Lac_8h,7264083,59658375,53157054,89.1,4790443,8.03,62027294,66914041,92.69697820222814,3302441,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368979,100,6112985941,2681920609,2019-08-07T00:00:00Z,2018-06-05T14:28:00Z,8h,"LPS/IFNg\, lactic acid (LA)",7.775671419690736,7.792582835066268
SRR7264084,57.37701120014363,13.295902890667165,46.76981321468379,8.811739557329142,13.667303987511975,9.421839718639415,-0.6791540889068419,-4.966836798046553,-2.3966089154684322,0.8163229959767774,-1.4264284345414129,3.943784145444403,-1.8643195270662791,7.2710386577547705,2.8080971881686665,5.2026776823832925,-2.3982267067761454,1.6622117415150648,-0.5104289908248743,2.1391850997413377,-0.12065111189038541,-2.1164418581240256,2.591858543112413,-8.193920105797567,-1.5430080757007172,9.565502917166349,0.044973899235091194,-0.3181602231264321,-0.8351483226668015,1.0935656715725697,0.19826444225439024,6.608602554081244e-14,GSM3176474,8h,"LPS/IFNg, lactic acid (LA)",LA,M1_Lac_8h,7264084,45010264,39924359,88.7,3519037,7.82,46271208,50041788,92.46513733681938,2585197,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368977,100,4609978673,2042814851,2019-08-07T00:00:00Z,2018-06-05T13:31:00Z,8h,"LPS/IFNg\, lactic acid (LA)",7.653311560225903,7.665310837751158
SRR7264085,-26.22419437739927,30.97445872686505,20.943002564580638,-17.91307903064526,23.384922888299556,-11.636000004559083,-4.037045746917475,9.700747661170272,-2.656714417227898,3.304346468262161,-2.7404856158523576,1.6834501900902747,5.206807090174785,-1.5876410523310718,-1.4187111265460413,-1.0785456114136287,1.7460644994010879,-3.246193550027548,-7.154844617869112,-6.080232279375997,0.6578649494086264,3.6507052536693236,6.021765457255653,-4.889210214284961,-4.24685816529408,-2.475387538970704,0.18553330702365323,-2.877005394733314,-1.5291086080751342,-2.7246175820149054,-0.5168250510770005,7.870093465811578e-14,GSM3176475,16h,"LPS/IFNg, lactic acid (LA)",LA,M1_Lac_16h,7264085,52044636,45373025,87.18,3923352,7.54,52747468,56667898,93.08174444727065,2586897,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368975,100,5325300030,2351637817,2019-08-07T00:00:00Z,2018-06-05T13:44:00Z,16h,"LPS/IFNg\, lactic acid (LA)",7.716375975428782,7.722201617334275
SRR7264086,-22.055553214140332,29.44820290362133,18.07313051179563,-24.024365405886922,15.181995714509489,-11.495250342468347,-2.1512068475960744,2.841076096651113,1.8726709928126415,-5.017516641116816,-0.12330143496223392,7.233968558445921,-3.565797528345811,-5.006008916958009,-2.055924232066174,2.9947847578467712,5.029280221935414,5.375618402497041,1.2514818434661783,4.502250694542434,5.332011458774796,-4.09861914409777,5.121568067807468,4.2781829456185525,6.1938884047520935,1.1133558518365487,-1.333067372250352,1.031274266079393,-0.5287032145676045,1.3688339835385777,-0.6616908626691392,7.091549569793187e-14,GSM3176476,16h,"LPS/IFNg, lactic acid (LA)",LA,M1_Lac_16h,7264086,39182727,34590287,88.28,3032438,7.74,40456339,43278192,93.47973455083336,1762708,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368974,100,4024234999,1809596613,2019-08-07T00:00:00Z,2018-06-05T13:22:00Z,16h,"LPS/IFNg\, lactic acid (LA)",7.5930946583008465,7.606986579768559
SRR7264087,-25.824413352000768,29.906515693658697,18.90911875211896,-17.395069254657045,21.981993263024975,-8.997161985351722,-0.9097198247391016,7.481486188516019,1.2648945211837186,0.7139743238175541,2.7803173122615936,-4.980128070457011,2.429379647756035,0.6418898434652686,11.665125432497389,3.6927532815899022,3.7688662080412687,-4.225782287748496,7.857636114095781,-0.41927468575701954,-2.445618565173341,-0.9679162157106584,-5.177139858643362,0.986522063844157,-1.265839426641703,0.6342125666947862,1.8618545425987194,1.4831150557021173,2.247239520197516,1.071320061869336,0.7453641195716173,6.386557949156213e-14,GSM3176477,16h,"LPS/IFNg, lactic acid (LA)",LA,M1_Lac_16h,7264087,43012065,38226547,88.87,3328680,7.74,44662287,47824222,93.38842354821789,2030193,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368972,100,4408244489,1950607020,2019-08-07T00:00:00Z,2018-06-05T13:29:00Z,16h,"LPS/IFNg\, lactic acid (LA)",7.633590293439392,7.649940958011051
SRR7264088,-27.140187638650367,29.79726128751775,13.779011426698641,-17.2145955904806,14.808446512559268,-12.287304757890663,-4.127593810878011,0.1401375973837017,5.0774854793280735,-5.615136918302776,-5.359495657506324,-12.247207921024708,-2.9188924555301146,2.689167720417851,-4.590609344708307,-4.220855363088782,-8.275563610561443,5.637270345410498,-1.2193801055831592,3.7058565539679122,-1.5637007237442195,0.003801307302738949,-2.6621386519232284,-0.8067791206010673,-0.9950626913854862,0.2759139819802695,-0.10043872221954941,0.9272599709517461,-0.9248137202859844,0.45252632070462834,0.23345998462073142,7.018691183802162e-14,GSM3176478,16h,"LPS/IFNg, lactic acid (LA)",LA,M1_Lac_16h,7264088,35779779,31253514,87.35,2831874,7.91,36786272,39365461,93.44809146271652,1627020,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368970,100,3672001646,1630683368,2019-08-07T00:00:00Z,2018-06-05T13:22:00Z,16h,"LPS/IFNg\, lactic acid (LA)",7.553637653744576,7.56568577772336
SRR7264089,-54.60962212019974,40.03510790299465,-34.66392925441244,34.42779319580594,3.6014859591860073,-18.813075484479135,-2.8841261062194405,-11.152403050126717,-13.954092279227492,-8.773825306844465,-1.7571394060370265,3.75503919889623,1.3282989164932375,2.6098944473471843,4.629815038669073,-5.821706204862382,0.785284034195239,1.3214880367073365,1.6357510225135652,-1.8445861197565216,-0.8001169976197607,-0.2676043326513779,0.4865058835384452,-0.35860603377122197,0.21235724860233976,-0.3668654725162932,-0.5725279930688522,0.0027621049959564298,-0.2947575754584009,0.008806090979983274,0.13546888949315752,6.336597913048081e-14,GSM3176479,24h,"LPS/IFNg, lactic acid (LA)",LA,M1_Lac_24h,7264089,35611089,31317917,87.94,3147050,8.84,38056365,40598656,93.73799221333829,1478349,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368969,100,3635452430,1584050337,2019-08-07T00:00:00Z,2018-06-05T13:26:00Z,24h,"LPS/IFNg\, lactic acid (LA)",7.551585254759884,7.580427303766211
SRR7264090,-50.07611180685168,32.89438449282456,-24.07811989914629,22.767008997951525,12.501529080220095,3.1929626593590994,14.657341052156577,-1.5312613024039563,7.824691147731785,11.173666696512173,-3.4887015837446373,-2.268018817435424,-0.35962341168221285,0.10565510815824758,-2.5102720366152984,-2.2328952089605267,9.442101457917957,6.6544518804810675,2.5551305508387046,1.4045794170320942,-0.5305388988287966,4.61321952142891,-0.5794691712059076,-1.5985090692551676,-2.0621295583727566,1.434052658197339,-2.410188092370598,-0.7367893000555237,0.34009878766372664,0.8743590993830846,-0.3485148612849903,-1.8596235662471372e-14,GSM3176480,24h,"LPS/IFNg, lactic acid (LA)",LA,M1_Lac_24h,7264090,45334910,39425450,86.96,3862629,8.52,47652813,50799780,93.80515624280262,1865354,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368967,100,4647065496,2043009304,2019-08-07T00:00:00Z,2018-06-05T13:28:00Z,24h,"LPS/IFNg\, lactic acid (LA)",7.656432757894511,7.678088542630559
SRR7264091,-52.17714849960574,35.69327031587541,-22.089200299632406,26.9962353382012,12.57435878260881,-7.492810799997984,-0.6400209637274638,0.7167644278420938,-1.9880679210813557,5.5054363199125795,0.80335042422046965,-1.625081544232236,-2.91869898569557,3.0619237314657077,-6.572982831387644,8.628743156050126,-3.497481326980626,-8.148835389755009,-1.9193716517453825,0.08491537824050796,4.730494252533719,1.6782784015349688,-3.2956254067751702,5.566372439153397,2.3529137163713654,3.0827730235589774,0.27302115397809174,-1.438015302359081,-0.5928218321025118,-1.3418842600460803,-0.42585667092271207,7.965850201685498e-15,GSM3176481,24h,"LPS/IFNg, lactic acid (LA)",LA,M1_Lac_24h,7264091,55958611,49358931,88.21,4857792,8.68,59466935,63759620,93.2673924342711,2709262,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368965,100,5712362529,2479891603,2019-08-07T00:00:00Z,2018-06-05T13:49:00Z,24h,"LPS/IFNg\, lactic acid (LA)",7.747866925931977,7.774275554996838
SRR7264092,-49.57039729268177,33.60023960736661,-19.599739840290933,18.582598917632783,16.574961355677964,2.5866936200739605,17.745546599742113,1.7089395914806949,11.197623018488384,-3.8778471100103316,8.990700884706053,4.886299677906272,1.1504213768315084,-3.894974591151857,0.8280735540356929,-0.03935312487734613,-7.1052154914923475,-0.9017004778996442,-2.55054963763468,0.7407825630815408,-3.76514652043584,-4.224479081861975,1.7394012015105336,-2.876248068070236,-0.2551717619293306,-3.016599050961294,2.353319293525253,2.009779512604922,0.6783193639329923,0.2830921694844137,0.78723129569611106,-2.9559688030644793e-15,GSM3176482,24h,"LPS/IFNg, lactic acid (LA)",LA,M1_Lac_24h,7264092,45596304,40607362,89.06,3983819,8.74,49053271,52262174,93.85998944475597,1878350,RNA-Seq,Illumina HiSeq 4000,ILLUMINA,PAIRED,cDNA,TRANSCRIPTOMIC,GEO,PRJNA474681,SRP149804,SAMN09368964,100,4669932739,2060329221,2019-08-07T00:00:00Z,2018-06-05T13:30:00Z,24h,"LPS/IFNg\, lactic acid (LA)",7.658929640527164,7.690667972569899
