"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000413042114457852,11,24,6.05582338364496,"GO:0033617 Mitochondrial cytochrome c oxidase assembly ","https://amigo.geneontology.org/amigo/term/GO:0033617"," Coa3  Cox14  Cox17  Smim20  Pet100  Sco2  Cox16  Coa8  Timm21  Coa4  Uqcc5"
0.000412531091663013,12,28,5.62763385146805,"GO:0008535 Respiratory chain complex iv assembly ","https://amigo.geneontology.org/amigo/term/GO:0008535"," Coa3  Cox14  Cox17  Coa6  Smim20  Pet100  Sco2  Cox16  Coa8  Timm21  Coa4  Uqcc5"
8.15943424486153e-05,15,38,5.13331466181207,"GO:0017004 Cytochrome complex assembly ","https://amigo.geneontology.org/amigo/term/GO:0017004"," Coa3  Cox14  Uqcc2  Cox17  Coa6  Smim20  Uqcc3  Pet100  Sco2  Cox16  Coa8  Cyba  Timm21  Coa4  Uqcc5"
0.000726096157280123,14,44,4.43176165803109,"GO:0009262 Deoxyribonucleotide metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0009262"," Rrm2  Nt5c  Dtymk  Dera  Nt5m  Nudt15  Dctpp1  Dguok  Upp1  Guk1  Dut  Nudt16  Tymp  Nme3"
0.000726096157280123,14,44,4.43176165803109,"GO:0019692 Deoxyribose phosphate metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0019692"," Nt5c  Dtymk  Nt5m  Nudt15  Dctpp1  Dguok  Upp1  Rrm2  Guk1  Dut  Dera  Nudt16  Tymp  Nme3"
0.00263241664492849,13,43,4.22072538860104,"GO:0009394 2-deoxyribonucleotide metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0009394"," Nt5c  Dtymk  Nt5m  Nudt15  Dctpp1  Dguok  Upp1  Rrm2  Guk1  Dut  Nudt16  Tymp  Nme3"
1.47233925332544e-06,30,109,3.61776461880089,"GO:0097250 Mitochondrial respirasome assembly ","https://amigo.geneontology.org/amigo/term/GO:0097250"," Ndufb2  Coa3  Cox14  Ndufaf7  Uqcc2  Atp23  Dmac1  Atpaf1  Higd1a  Cox17  Ndufaf6  Smim20  Uqcc3  Ndufaf8  Pet100  Sco2  Cox16  Coa8  Tmem242  Tafazzin  Fmc1  Ndufb9  Timm21  Ndufb8  Rab5if  Ndufb7  Coa4  Lyrm2  Ndufb1  Uqcc5"
7.83621349807881e-05,26,101,3.32542000314021,"GO:0033108 Mitochondrial respiratory chain complex assembly ","https://amigo.geneontology.org/amigo/term/GO:0033108"," Ndufb2  Coa3  Cox14  Ndufaf7  Uqcc2  Dmac1  Chchd7  Cox17  Ndufaf6  Smim20  Uqcc3  Ndufaf8  Pet100  Sco2  Cox16  Coa8  Tafazzin  Ndufb9  Timm21  Ndufb8  Ndufb7  Coa4  Lyrm2  Ndufb1  Oma1  Uqcc5"
0.000726096157280123,27,125,2.75708674577971,"GO:0032543 Mitochondrial translation ","https://amigo.geneontology.org/amigo/term/GO:0032543"," Mrpl2  Wars2  Mrpl58  Rmnd1  Mtrf1  Rars2  Mrpl52  Coa3  Uqcc2  Fastkd2  Malsu1  Mtg2  Mrps35  Mrps24  Mrpl57  Mrps12  Mrpl36  Mrpl14  Mrpl27  Mrpl21  Mrpl11  Mrpl20  Mrpl53  Mrpl17  Mrpl54  Mrps26  Mrpl33"
0.00181106494345823,31,163,2.42300901938208,"GO:0140053 Mitochondrial gene expression ","https://amigo.geneontology.org/amigo/term/GO:0140053"," Mrpl2  Wars2  Mrpl58  Rmnd1  Mtrf1  Fastkd2  Rars2  Tfb1m  Tefm  Mrpl52  Coa3  Uqcc2  Hsd17b10  Malsu1  Mtg2  Mrps35  Mrps24  Mrpl57  Mrps12  Mettl4  Mrpl36  Mrpl14  Mrpl27  Mrpl21  Mrpl11  Mrpl20  Mrpl53  Mrpl17  Mrpl54  Mrps26  Mrpl33"
